cell_id,Illadopsis turdina,Illadopsis turdina harterti,Illadopsis turdina turdina,Illadopsis turdina upembae
8358c8fffffffff,23.0,0.0,0.0,0.0
8358cafffffffff,1.0,0.0,0.0,0.0
836a10fffffffff,9.0,0.0,0.0,0.0
836a14fffffffff,2.0,0.0,0.0,0.0
836a15fffffffff,1.0,0.0,0.0,0.0
839609fffffffff,19.0,0.0,0.0,2.0
83960bfffffffff,8.0,0.0,0.0,0.0
839656fffffffff,7.0,0.0,0.0,1.0
