cell_id,Sakesphorus canadensis,Sakesphorus canadensis pulchellus,Sakesphorus canadensis [canadensis Group]
825f07fffffffff,1.0,0.0,0.0
825f0ffffffffff,360.0,0.0,0.0
825f17fffffffff,53.0,0.0,0.0
825f1ffffffffff,144.0,0.0,0.0
825f2ffffffffff,584.0,0.0,0.0
825f47fffffffff,55.0,0.0,0.0
825f4ffffffffff,68.0,0.0,0.0
825f57fffffffff,64.0,0.0,0.0
825f5ffffffffff,794.0,0.0,0.0
825f6ffffffffff,45.0,0.0,0.0
825f77fffffffff,9.0,0.0,0.0
826607fffffffff,1049.0,0.0,0.0
82660ffffffffff,389.0,0.0,0.0
826617fffffffff,194.0,0.0,0.0
82661ffffffffff,38.0,0.0,0.0
826627fffffffff,3086.0,148.0,0.0
82662ffffffffff,47.0,0.0,0.0
826637fffffffff,580.0,2.0,0.0
826647fffffffff,588.0,0.0,37.0
826657fffffffff,1145.0,0.0,37.0
82665ffffffffff,6.0,0.0,0.0
826667fffffffff,169.0,0.0,2.0
82666ffffffffff,17.0,0.0,0.0
826677fffffffff,385.0,0.0,20.0
8266e7fffffffff,1066.0,0.0,7.0
8266effffffffff,189.0,0.0,6.0
826747fffffffff,316.0,3.0,0.0
82674ffffffffff,291.0,0.0,8.0
826757fffffffff,1675.0,14.0,0.0
82675ffffffffff,402.0,0.0,2.0
828a47fffffffff,107.0,0.0,0.0
828a57fffffffff,4.0,0.0,0.0
828a6ffffffffff,123.0,0.0,0.0
828a9ffffffffff,4.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828ad7fffffffff,3.0,0.0,0.0
828adffffffffff,225.0,0.0,23.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,178.0,0.0,20.0
828f4ffffffffff,25.0,0.0,0.0
828f67fffffffff,52.0,0.0,0.0
828f6ffffffffff,80.0,0.0,0.0
