cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
847a681ffffffff,4.0,4.0,0.0,0.0,0.0
847a68bffffffff,3.0,3.0,0.0,0.0,0.0
847a6b7ffffffff,2.0,0.0,0.0,0.0,0.0
847b4a1ffffffff,1.0,0.0,0.0,0.0,0.0
8496283ffffffff,2.0,0.0,0.0,0.0,0.0
849628bffffffff,2.0,0.0,0.0,0.0,0.0
84962d9ffffffff,2.0,0.0,0.0,0.0,0.0
8496907ffffffff,3.0,0.0,0.0,0.0,0.0
8497119ffffffff,6.0,0.0,0.0,0.0,0.0
84ac8a9ffffffff,2.0,0.0,0.0,0.0,0.0
84bc457ffffffff,2.0,0.0,0.0,0.0,0.0
84bc545ffffffff,4.0,0.0,0.0,0.0,0.0
84bc717ffffffff,4.0,0.0,0.0,0.0,0.0
84bc737ffffffff,4.0,0.0,0.0,0.0,3.0
84bc73dffffffff,3.0,0.0,0.0,0.0,0.0
84bcc49ffffffff,2.0,0.0,0.0,0.0,0.0
84bcf33ffffffff,2.0,0.0,0.0,0.0,0.0
