cell_id,Eupodotis senegalensis,Eupodotis senegalensis [senegalensis Group],Eupodotis senegalensis barrowii/mackenziei
82541ffffffffff,14.0,0.0,0.0
8254affffffffff,4.0,0.0,0.0
8254e7fffffffff,2.0,0.0,0.0
825857fffffffff,2.0,0.0,0.0
82585ffffffffff,3.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
826a5ffffffffff,21.0,0.0,0.0
827527fffffffff,3.0,0.0,0.0
827a47fffffffff,421.0,7.0,0.0
827a4ffffffffff,6.0,0.0,0.0
827a5ffffffffff,6.0,0.0,0.0
827a67fffffffff,330.0,6.0,0.0
827a6ffffffffff,1312.0,60.0,0.0
827acffffffffff,3.0,0.0,0.0
827adffffffffff,134.0,16.0,0.0
827aeffffffffff,67.0,9.0,0.0
8282a7fffffffff,9.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
82960ffffffffff,1.0,0.0,0.0
829677fffffffff,15.0,0.0,0.0
829697fffffffff,444.0,57.0,0.0
82969ffffffffff,12.0,2.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296b7fffffffff,50.0,19.0,0.0
82bc77fffffffff,6.0,0.0,0.0
82bcc7fffffffff,14.0,0.0,5.0
82bcd7fffffffff,4.0,0.0,2.0
82bcdffffffffff,21.0,0.0,10.0
82bce7fffffffff,4.0,0.0,3.0
82bcf7fffffffff,182.0,0.0,72.0
