cell_id,Setophaga dominica,Setophaga dominica albilora,Setophaga dominica dominica/stoddardi
8426093ffffffff,3.0,0.0,0.0
842609bffffffff,9.0,0.0,0.0
84260b3ffffffff,7.0,0.0,0.0
84260bbffffffff,2.0,0.0,0.0
84260d3ffffffff,3.0,0.0,0.0
84260d9ffffffff,33.0,0.0,0.0
8426291ffffffff,1.0,0.0,0.0
84262b3ffffffff,25.0,0.0,0.0
84262b7ffffffff,6.0,0.0,0.0
8426401ffffffff,1.0,0.0,0.0
8426403ffffffff,12.0,3.0,0.0
8426405ffffffff,69.0,0.0,0.0
8426407ffffffff,6.0,0.0,0.0
8426409ffffffff,60.0,0.0,0.0
842640bffffffff,4.0,0.0,0.0
842640dffffffff,26.0,0.0,0.0
8426411ffffffff,70.0,4.0,0.0
8426413ffffffff,34.0,0.0,0.0
8426415ffffffff,572.0,57.0,0.0
8426417ffffffff,184.0,15.0,0.0
8426419ffffffff,6.0,2.0,0.0
842641bffffffff,40.0,9.0,0.0
842641dffffffff,32.0,2.0,0.0
8426421ffffffff,96.0,3.0,0.0
8426423ffffffff,52.0,0.0,0.0
8426425ffffffff,43.0,0.0,0.0
8426427ffffffff,44.0,0.0,0.0
8426429ffffffff,143.0,0.0,0.0
842642bffffffff,34.0,2.0,0.0
842642dffffffff,11.0,0.0,0.0
8426431ffffffff,98.0,0.0,0.0
8426433ffffffff,49.0,0.0,0.0
8426435ffffffff,38.0,0.0,0.0
8426437ffffffff,206.0,0.0,0.0
8426439ffffffff,56.0,2.0,0.0
842643bffffffff,219.0,10.0,0.0
842643dffffffff,60.0,0.0,0.0
8426441ffffffff,4.0,0.0,0.0
8426443ffffffff,12.0,0.0,0.0
8426445ffffffff,1.0,0.0,0.0
8426449ffffffff,1.0,1.0,0.0
842644bffffffff,10.0,0.0,0.0
842644dffffffff,10.0,0.0,0.0
8426455ffffffff,8.0,0.0,0.0
8426459ffffffff,8.0,1.0,0.0
842645dffffffff,8.0,0.0,0.0
8426461ffffffff,295.0,7.0,0.0
8426463ffffffff,1189.0,18.0,0.0
8426467ffffffff,26.0,0.0,0.0
8426469ffffffff,4.0,0.0,0.0
842646bffffffff,31.0,5.0,0.0
842646dffffffff,19.0,0.0,0.0
8426481ffffffff,118.0,0.0,0.0
8426483ffffffff,22.0,0.0,0.0
8426485ffffffff,8.0,0.0,0.0
8426487ffffffff,14.0,0.0,0.0
8426489ffffffff,250.0,0.0,0.0
842648bffffffff,151.0,0.0,0.0
842648dffffffff,27.0,0.0,0.0
8426491ffffffff,21.0,0.0,0.0
8426493ffffffff,73.0,0.0,0.0
8426495ffffffff,92.0,0.0,0.0
8426497ffffffff,42.0,0.0,0.0
8426499ffffffff,3.0,0.0,0.0
842649bffffffff,27.0,0.0,0.0
842649dffffffff,23.0,0.0,0.0
84264a1ffffffff,51.0,0.0,0.0
84264a3ffffffff,18.0,0.0,0.0
84264a5ffffffff,20.0,0.0,0.0
84264a7ffffffff,401.0,0.0,0.0
84264a9ffffffff,4.0,0.0,0.0
84264abffffffff,11.0,0.0,0.0
84264adffffffff,39.0,0.0,0.0
84264b1ffffffff,5.0,0.0,0.0
84264b7ffffffff,4.0,0.0,0.0
84264b9ffffffff,180.0,0.0,0.0
84264bbffffffff,51.0,0.0,0.0
84264bdffffffff,18.0,0.0,0.0
84264c1ffffffff,38.0,0.0,0.0
84264c3ffffffff,161.0,0.0,0.0
84264c5ffffffff,376.0,0.0,0.0
84264c7ffffffff,257.0,0.0,0.0
84264c9ffffffff,16.0,0.0,0.0
84264cbffffffff,24.0,0.0,0.0
84264cdffffffff,35.0,0.0,0.0
84264d1ffffffff,546.0,0.0,0.0
84264d3ffffffff,5.0,0.0,0.0
84264d5ffffffff,78.0,0.0,0.0
84264d7ffffffff,16.0,0.0,0.0
84264d9ffffffff,141.0,0.0,0.0
84264dbffffffff,18.0,0.0,0.0
84264ddffffffff,224.0,0.0,0.0
84264e1ffffffff,3.0,0.0,0.0
84264e5ffffffff,147.0,0.0,0.0
84264e7ffffffff,18.0,0.0,0.0
84264edffffffff,12.0,2.0,0.0
8426501ffffffff,10.0,0.0,0.0
8426503ffffffff,12.0,0.0,0.0
8426505ffffffff,8.0,0.0,0.0
8426507ffffffff,2.0,0.0,0.0
8426509ffffffff,1.0,0.0,0.0
842650bffffffff,60.0,4.0,0.0
842650dffffffff,62.0,0.0,0.0
8426511ffffffff,42.0,0.0,0.0
8426513ffffffff,35.0,0.0,0.0
8426515ffffffff,49.0,0.0,0.0
8426517ffffffff,2.0,0.0,0.0
8426519ffffffff,38.0,0.0,0.0
842651bffffffff,86.0,0.0,0.0
842651dffffffff,91.0,0.0,0.0
8426521ffffffff,90.0,0.0,0.0
8426527ffffffff,6.0,0.0,0.0
