cell_id,Megascops cooperi,Megascops cooperi lambi,Megascops cooperi cooperi
834524fffffffff,12.0,0.0,0.0
8366b6fffffffff,5.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0
836d04fffffffff,53.0,0.0,3.0
836d05fffffffff,74.0,0.0,13.0
836d06fffffffff,2.0,0.0,0.0
836d15fffffffff,267.0,23.0,0.0
836d2afffffffff,49.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0
836d31fffffffff,25.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0
836d60fffffffff,38.0,0.0,0.0
836d61fffffffff,281.0,0.0,0.0
836d63fffffffff,4.0,0.0,0.0
836d65fffffffff,1.0,0.0,0.0
836d66fffffffff,7.0,0.0,0.0
836d68fffffffff,798.0,0.0,0.0
836d69fffffffff,1190.0,0.0,0.0
836d6afffffffff,28.0,0.0,0.0
836d6bfffffffff,305.0,0.0,0.0
836d6cfffffffff,22.0,0.0,0.0
836d6dfffffffff,1258.0,0.0,0.0
836d6efffffffff,275.0,0.0,0.0
836d74fffffffff,42.0,0.0,0.0
836d75fffffffff,21.0,0.0,0.0
836d76fffffffff,4.0,0.0,0.0
