cell_id,Sakesphoroides cristatus,Sakesphoroides cristatus niedeguidonae,Sakesphoroides cristatus cristatus
828007fffffffff,10.0,0.0,0.0
828017fffffffff,26.0,0.0,0.0
82801ffffffffff,1.0,0.0,0.0
828027fffffffff,11.0,0.0,0.0
828037fffffffff,202.0,0.0,0.0
828107fffffffff,165.0,0.0,0.0
82810ffffffffff,2.0,0.0,0.0
828117fffffffff,2.0,0.0,0.0
82811ffffffffff,18.0,0.0,0.0
828127fffffffff,562.0,0.0,0.0
82812ffffffffff,4.0,0.0,0.0
828137fffffffff,339.0,0.0,0.0
828187fffffffff,2.0,0.0,0.0
82818ffffffffff,44.0,0.0,0.0
8281affffffffff,103.0,0.0,0.0
82a88ffffffffff,106.0,0.0,0.0
82a89ffffffffff,9.0,0.0,0.0
