cell_id,Lanius cristatus,Lanius cristatus cristatus/confusus,Lanius cristatus superciliosus,Lanius cristatus lucionensis
820a37fffffffff,1.0,0.0,0.0,0.0
821487fffffffff,2.0,0.0,0.0,0.0
82148ffffffffff,8.0,0.0,0.0,0.0
821497fffffffff,4.0,0.0,0.0,0.0
82149ffffffffff,24.0,0.0,0.0,0.0
8214affffffffff,105.0,0.0,0.0,0.0
8214b7fffffffff,2.0,0.0,0.0,0.0
8214cffffffffff,3.0,0.0,0.0,0.0
8214d7fffffffff,2.0,0.0,0.0,0.0
82154ffffffffff,4.0,0.0,0.0,0.0
82155ffffffffff,10.0,0.0,0.0,0.0
82158ffffffffff,4.0,0.0,0.0,0.0
821597fffffffff,17.0,0.0,0.0,0.0
82159ffffffffff,16.0,3.0,0.0,0.0
8215b7fffffffff,7.0,0.0,0.0,0.0
821637fffffffff,2.0,0.0,0.0,0.0
821717fffffffff,3.0,0.0,0.0,0.0
82204ffffffffff,2.0,2.0,0.0,0.0
82206ffffffffff,1.0,1.0,0.0,0.0
822407fffffffff,13.0,0.0,0.0,0.0
82240ffffffffff,8.0,0.0,0.0,0.0
822427fffffffff,9.0,0.0,0.0,0.0
82242ffffffffff,27.0,0.0,0.0,0.0
822437fffffffff,3.0,0.0,0.0,0.0
822447fffffffff,2.0,0.0,0.0,0.0
82244ffffffffff,29.0,0.0,0.0,0.0
822457fffffffff,121.0,0.0,0.0,0.0
822467fffffffff,127.0,1.0,0.0,0.0
82246ffffffffff,12.0,1.0,0.0,0.0
822477fffffffff,18.0,0.0,0.0,0.0
82248ffffffffff,11.0,0.0,0.0,0.0
8224c7fffffffff,4.0,0.0,0.0,2.0
8224cffffffffff,2.0,0.0,0.0,0.0
8224d7fffffffff,8.0,1.0,0.0,0.0
8224dffffffffff,2.0,0.0,0.0,0.0
822517fffffffff,38.0,0.0,0.0,0.0
82251ffffffffff,3.0,0.0,0.0,0.0
822547fffffffff,61.0,12.0,0.0,0.0
822557fffffffff,1.0,0.0,0.0,0.0
82255ffffffffff,77.0,0.0,0.0,0.0
822577fffffffff,5.0,0.0,0.0,0.0
8225a7fffffffff,3.0,0.0,0.0,0.0
822e8ffffffffff,5.0,3.0,0.0,0.0
822e9ffffffffff,5.0,3.0,0.0,0.0
822ec7fffffffff,8.0,0.0,0.0,0.0
822ecffffffffff,27.0,0.0,0.0,0.0
822ed7fffffffff,3.0,0.0,0.0,0.0
822edffffffffff,6.0,0.0,0.0,0.0
823007fffffffff,5.0,0.0,0.0,0.0
823017fffffffff,4.0,0.0,0.0,0.0
82301ffffffffff,85.0,0.0,0.0,0.0
823027fffffffff,19.0,0.0,0.0,0.0
823037fffffffff,122.0,0.0,0.0,0.0
823087fffffffff,80.0,2.0,0.0,0.0
823097fffffffff,23.0,0.0,0.0,0.0
82309ffffffffff,470.0,35.0,0.0,11.0
8230affffffffff,3.0,0.0,0.0,0.0
8230b7fffffffff,2.0,0.0,0.0,0.0
8230c7fffffffff,4.0,0.0,0.0,0.0
8230d7fffffffff,3.0,0.0,0.0,0.0
8230e7fffffffff,100.0,0.0,0.0,0.0
8230effffffffff,3.0,0.0,0.0,0.0
8230f7fffffffff,1.0,0.0,0.0,0.0
823107fffffffff,2.0,0.0,0.0,0.0
82310ffffffffff,2.0,0.0,0.0,0.0
823117fffffffff,8.0,2.0,0.0,0.0
823127fffffffff,6.0,0.0,0.0,0.0
