cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
836608fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,4.0,0.0,0.0,4.0,0.0,0.0
836619fffffffff,8.0,0.0,0.0,8.0,0.0,0.0
83661bfffffffff,6.0,0.0,0.0,1.0,0.0,0.0
836620fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
836621fffffffff,5.0,0.0,0.0,5.0,0.0,0.0
8366c0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8366c6fffffffff,3.0,0.0,0.0,3.0,0.0,0.0
8366defffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8366e6fffffffff,18.0,0.0,5.0,11.0,0.0,0.0
8366f1fffffffff,5.0,0.0,2.0,0.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838b61fffffffff,20.0,0.0,0.0,0.0,0.0,20.0
838b63fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
838b6dfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838e64fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
838e65fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838f2dfffffffff,2.0,0.0,0.0,2.0,0.0,0.0
838f55fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
838f73fffffffff,8.0,0.0,0.0,0.0,8.0,0.0
