cell_id,Elaenia fallax,Elaenia fallax fallax,Elaenia fallax cherriei
8345b2fffffffff,8.0,0.0,0.0
834c89fffffffff,2.0,0.0,0.0
834cd4fffffffff,1.0,0.0,0.0
834cd6fffffffff,3.0,0.0,0.0
836725fffffffff,13.0,0.0,0.0
836726fffffffff,2.0,0.0,0.0
836732fffffffff,15.0,1.0,0.0
