cell_id,Accipiter striatus,Accipiter striatus [striatus Group],Accipiter striatus [velox Group],Accipiter striatus madrensis,Accipiter striatus chionogaster,Accipiter striatus ventralis,Accipiter striatus erythronemius
840c293ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c297ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c2d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c415ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,95.0,0.0,0.0,0.0,0.0,0.0,0.0
840c451ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c455ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
840c461ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c465ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840c467ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840c46dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c503ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840c50bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c50dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c511ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c515ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840c51dffffffff,83.0,0.0,0.0,0.0,0.0,0.0,0.0
840c54bffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
840c551ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840c555ffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
840c55bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5adffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
840c609ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c60dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c617ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c621ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c629ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c63bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c645ffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
840c647ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c64bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c651ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c659ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c65dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840c663ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c665ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840c66dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c68bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c705ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840c707ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840c70dffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
840c711ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c715ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c71bffffffff,156.0,0.0,45.0,0.0,0.0,0.0,0.0
840c733ffffffff,240.0,0.0,4.0,0.0,0.0,0.0,0.0
840c735ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c739ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840c73bffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
840c73dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840c741ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
