cell_id,Pelecanus occidentalis,Pelecanus occidentalis carolinensis,Pelecanus occidentalis californicus,Pelecanus occidentalis occidentalis/murphyi,Pelecanus occidentalis urinator
832602fffffffff,2.0,0.0,0.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0,0.0,0.0
83260efffffffff,2.0,0.0,0.0,0.0,0.0
832615fffffffff,2.0,0.0,0.0,0.0,0.0
832619fffffffff,4.0,0.0,0.0,0.0,0.0
832628fffffffff,1.0,0.0,0.0,0.0,0.0
83262afffffffff,1.0,0.0,0.0,0.0,0.0
832640fffffffff,2.0,0.0,0.0,0.0,0.0
832641fffffffff,14.0,0.0,0.0,0.0,0.0
832645fffffffff,6.0,0.0,0.0,0.0,0.0
832646fffffffff,29.0,0.0,0.0,0.0,0.0
832649fffffffff,37.0,0.0,0.0,0.0,0.0
83264bfffffffff,2.0,0.0,0.0,0.0,0.0
83264cfffffffff,6.0,0.0,0.0,0.0,0.0
83264dfffffffff,4.0,0.0,0.0,0.0,0.0
83264efffffffff,2.0,0.0,0.0,0.0,0.0
832652fffffffff,5.0,0.0,0.0,0.0,0.0
832654fffffffff,10.0,0.0,0.0,0.0,0.0
832655fffffffff,80.0,0.0,0.0,0.0,0.0
832656fffffffff,1.0,0.0,0.0,0.0,0.0
83265afffffffff,8.0,0.0,0.0,0.0,0.0
83265bfffffffff,4.0,0.0,0.0,0.0,0.0
832661fffffffff,4.0,0.0,0.0,0.0,0.0
832664fffffffff,2.0,0.0,0.0,0.0,0.0
832668fffffffff,10.0,0.0,0.0,0.0,0.0
83266afffffffff,6.0,0.0,0.0,0.0,0.0
832688fffffffff,13.0,0.0,0.0,0.0,0.0
83268cfffffffff,90.0,0.0,0.0,0.0,0.0
83268dfffffffff,2.0,0.0,0.0,0.0,0.0
83269bfffffffff,3.0,0.0,0.0,0.0,0.0
83269cfffffffff,16.0,0.0,0.0,0.0,0.0
8326aafffffffff,3.0,0.0,0.0,0.0,0.0
8326c1fffffffff,8.0,0.0,0.0,0.0,0.0
8326c5fffffffff,8.0,0.0,0.0,0.0,0.0
8326c8fffffffff,29.0,0.0,0.0,0.0,0.0
8326c9fffffffff,2.0,0.0,0.0,0.0,0.0
8326cbfffffffff,4.0,0.0,0.0,0.0,0.0
8326cefffffffff,3.0,0.0,0.0,0.0,0.0
8326d2fffffffff,6.0,0.0,0.0,0.0,0.0
8326d9fffffffff,5.0,0.0,0.0,0.0,0.0
8326dafffffffff,1.0,0.0,0.0,0.0,0.0
8326ddfffffffff,7.0,0.0,0.0,0.0,0.0
8326defffffffff,10.0,0.0,0.0,0.0,0.0
