cell_id,Haematopus ostralegus,Haematopus ostralegus ostralegus/longipes,Haematopus ostralegus osculans
840120bffffffff,2.0,0.0,0.0
8401225ffffffff,2.0,0.0,0.0
840122bffffffff,5.0,0.0,0.0
840122dffffffff,3.0,0.0,0.0
840123dffffffff,6.0,0.0,0.0
8401243ffffffff,6.0,0.0,0.0
8401247ffffffff,3.0,0.0,0.0
840124bffffffff,1.0,0.0,0.0
840125dffffffff,8.0,0.0,0.0
8401265ffffffff,2.0,0.0,0.0
840126bffffffff,2.0,0.0,0.0
840130bffffffff,451.0,0.0,0.0
8401319ffffffff,120.0,0.0,0.0
840131dffffffff,34.0,0.0,0.0
8401343ffffffff,2.0,0.0,0.0
8401345ffffffff,1.0,0.0,0.0
840134bffffffff,2.0,0.0,0.0
8401351ffffffff,302.0,0.0,0.0
8401353ffffffff,68.0,0.0,0.0
8401355ffffffff,202.0,0.0,0.0
8401357ffffffff,17.0,0.0,0.0
8401359ffffffff,10.0,0.0,0.0
840135bffffffff,127.0,0.0,0.0
840135dffffffff,15.0,0.0,0.0
840136dffffffff,1.0,0.0,0.0
8407411ffffffff,180.0,13.0,0.0
8407417ffffffff,162.0,6.0,0.0
840741dffffffff,21.0,0.0,0.0
8407425ffffffff,96.0,5.0,0.0
8407427ffffffff,34.0,2.0,0.0
840742dffffffff,32.0,1.0,0.0
8407431ffffffff,84.0,2.0,0.0
8407433ffffffff,452.0,4.0,0.0
8407437ffffffff,91.0,4.0,0.0
8407439ffffffff,2.0,0.0,0.0
840743bffffffff,92.0,4.0,0.0
840744bffffffff,41.0,4.0,0.0
840744dffffffff,2.0,0.0,0.0
8407451ffffffff,15.0,0.0,0.0
8407455ffffffff,7.0,0.0,0.0
8407457ffffffff,17.0,0.0,0.0
840745dffffffff,59.0,0.0,0.0
8407461ffffffff,20.0,0.0,0.0
8407465ffffffff,57.0,8.0,0.0
8407467ffffffff,82.0,3.0,0.0
840746dffffffff,4.0,2.0,0.0
84074e9ffffffff,42.0,0.0,0.0
84074edffffffff,142.0,0.0,0.0
8407513ffffffff,37.0,0.0,0.0
8407517ffffffff,5.0,0.0,0.0
8407519ffffffff,6.0,2.0,0.0
840751bffffffff,33.0,1.0,0.0
8407533ffffffff,2.0,0.0,0.0
840753bffffffff,9.0,0.0,0.0
8407551ffffffff,22.0,0.0,0.0
8407553ffffffff,9.0,0.0,0.0
8407559ffffffff,9.0,0.0,0.0
840755bffffffff,47.0,0.0,0.0
840755dffffffff,54.0,0.0,0.0
8407581ffffffff,18.0,0.0,0.0
8407589ffffffff,198.0,3.0,0.0
840758dffffffff,240.0,6.0,0.0
84075a9ffffffff,40.0,3.0,0.0
84075c1ffffffff,40.0,8.0,0.0
84075c3ffffffff,73.0,5.0,0.0
84075c5ffffffff,29.0,1.0,0.0
84075c7ffffffff,145.0,7.0,0.0
84075c9ffffffff,13.0,0.0,0.0
84075cbffffffff,168.0,7.0,0.0
84075cdffffffff,18.0,0.0,0.0
84075d1ffffffff,1063.0,45.0,0.0
84075d9ffffffff,181.0,5.0,0.0
84075ddffffffff,765.0,34.0,0.0
84075e1ffffffff,116.0,1.0,0.0
84075e3ffffffff,62.0,4.0,0.0
84075e5ffffffff,2.0,0.0,0.0
84075e7ffffffff,33.0,7.0,0.0
84075e9ffffffff,26.0,0.0,0.0
84075ebffffffff,205.0,16.0,0.0
84075edffffffff,203.0,0.0,0.0
8407621ffffffff,42.0,4.0,0.0
8407623ffffffff,201.0,33.0,0.0
8407625ffffffff,31.0,0.0,0.0
8407627ffffffff,16.0,4.0,0.0
8407635ffffffff,194.0,11.0,0.0
8407703ffffffff,86.0,12.0,0.0
8407711ffffffff,5.0,0.0,0.0
8407715ffffffff,36.0,8.0,0.0
8407719ffffffff,2.0,0.0,0.0
840771dffffffff,5.0,0.0,0.0
8407731ffffffff,196.0,25.0,0.0
8407733ffffffff,248.0,4.0,0.0
8407739ffffffff,98.0,13.0,0.0
840773bffffffff,15.0,0.0,0.0
8407753ffffffff,84.0,2.0,0.0
8408001ffffffff,2.0,0.0,0.0
8408007ffffffff,2.0,0.0,0.0
8408021ffffffff,7.0,0.0,0.0
8408023ffffffff,2.0,0.0,0.0
8408025ffffffff,6.0,0.0,0.0
840802bffffffff,2.0,0.0,0.0
840802dffffffff,15.0,0.0,0.0
8408057ffffffff,4.0,0.0,0.0
8408061ffffffff,1.0,0.0,0.0
8408065ffffffff,62.0,0.0,0.0
8408133ffffffff,3.0,0.0,0.0
8408151ffffffff,122.0,0.0,0.0
8408153ffffffff,21.0,0.0,0.0
8408159ffffffff,63.0,0.0,0.0
840815bffffffff,61.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0
8408281ffffffff,3.0,0.0,0.0
8408283ffffffff,3.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0
840829bffffffff,17.0,0.0,0.0
84082a1ffffffff,1.0,0.0,0.0
