cell_id,Megascops cooperi,Megascops cooperi lambi,Megascops cooperi cooperi
834524fffffffff,5.0,0.0,0.0
834525fffffffff,42.0,0.0,0.0
836d05fffffffff,4.0,0.0,2.0
836d15fffffffff,15.0,12.0,0.0
836d29fffffffff,5.0,0.0,0.0
836d2afffffffff,12.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0
836d33fffffffff,2.0,0.0,0.0
836d60fffffffff,2.0,0.0,2.0
836d61fffffffff,1.0,0.0,1.0
836d64fffffffff,58.0,0.0,0.0
836d66fffffffff,11.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,10.0,0.0,0.0
836d6bfffffffff,1.0,0.0,0.0
836d6dfffffffff,3.0,0.0,0.0
836d74fffffffff,1.0,0.0,0.0
