cell_id,Myrmotherula axillaris,Myrmotherula axillaris [axillaris Group],Myrmotherula axillaris luctuosa
835f5bfffffffff,6.0,4.0,0.0
836610fffffffff,1.0,0.0,0.0
836611fffffffff,3.0,1.0,0.0
83661cfffffffff,7.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0
8366a0fffffffff,4.0,0.0,0.0
8366a5fffffffff,2.0,0.0,0.0
8366d0fffffffff,4.0,0.0,0.0
8366d3fffffffff,2.0,2.0,0.0
8366dafffffffff,21.0,4.0,0.0
8366defffffffff,56.0,5.0,0.0
836d68fffffffff,2.0,0.0,0.0
836d69fffffffff,8.0,5.0,0.0
838061fffffffff,8.0,8.0,0.0
838180fffffffff,7.0,0.0,7.0
838181fffffffff,36.0,0.0,36.0
838183fffffffff,2.0,0.0,2.0
838b5cfffffffff,3.0,3.0,0.0
838b84fffffffff,3.0,3.0,0.0
838f29fffffffff,2.0,0.0,0.0
838f2bfffffffff,5.0,0.0,0.0
838f2cfffffffff,46.0,0.0,0.0
838f2efffffffff,1.0,0.0,0.0
83a891fffffffff,1.0,0.0,0.0
