cell_id,Leptotila cassinii,Leptotila cassinii cerviniventris,Leptotila cassinii rufinucha,Leptotila cassinii cassinii
834521fffffffff,1.0,0.0,0.0,0.0
834522fffffffff,1.0,1.0,0.0,0.0
834523fffffffff,1.0,0.0,0.0,0.0
834525fffffffff,4.0,0.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,33.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
836611fffffffff,4.0,0.0,0.0,0.0
83661cfffffffff,87.0,0.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0,0.0
8366b0fffffffff,7.0,0.0,4.0,0.0
8366b4fffffffff,4.0,0.0,0.0,0.0
8366b5fffffffff,3.0,0.0,1.0,0.0
83679afffffffff,5.0,1.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0,0.0
836d2cfffffffff,8.0,0.0,0.0,0.0
836d68fffffffff,6.0,0.0,1.0,0.0
836d69fffffffff,16.0,0.0,5.0,0.0
