cell_id,Otus rutilus,Otus rutilus rutilus,Otus rutilus madagascariensis
83a212fffffffff,1.0,1.0,0.0
83a214fffffffff,26.0,24.0,2.0
83a215fffffffff,1.0,0.0,0.0
83a222fffffffff,111.0,102.0,0.0
83a223fffffffff,4.0,4.0,0.0
83a230fffffffff,2.0,1.0,1.0
83a231fffffffff,306.0,270.0,1.0
83a235fffffffff,13.0,9.0,4.0
83a2a3fffffffff,126.0,0.0,121.0
83a2a4fffffffff,49.0,0.0,47.0
83a2aefffffffff,5.0,4.0,1.0
83a308fffffffff,26.0,0.0,25.0
83a309fffffffff,27.0,27.0,0.0
83a30cfffffffff,10.0,6.0,0.0
83a30dfffffffff,2.0,2.0,0.0
83a30efffffffff,2.0,0.0,2.0
83a318fffffffff,2.0,2.0,0.0
83a319fffffffff,106.0,0.0,102.0
83a31dfffffffff,6.0,0.0,5.0
83a356fffffffff,73.0,73.0,0.0
83a372fffffffff,1.0,0.0,0.0
83a376fffffffff,21.0,19.0,0.0
83a38bfffffffff,80.0,0.0,73.0
83a38cfffffffff,3.0,0.0,3.0
83a38dfffffffff,30.0,0.0,30.0
83a399fffffffff,43.0,0.0,32.0
83a39dfffffffff,6.0,0.0,6.0
83a3abfffffffff,4.0,0.0,4.0
