cell_id,Athene cunicularia,Athene cunicularia hypugaea/rostrata,Athene cunicularia floridana,Athene cunicularia [guadeloupensis Group],Athene cunicularia [tolimae Group],Athene cunicularia nanodes/juninensis,Athene cunicularia grallaria,Athene cunicularia [cunicularia Group]
8412c93ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426025ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426105ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426107ffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842610bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842610dffffffff,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426111ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426115ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426119ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842611bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842611dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426121ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426123ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426125ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426129ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842612bffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842612dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426131ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842613bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8426141ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426143ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426145ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426149ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842614bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426151ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426159ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842615bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842615dffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426161ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426163ffffffff,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426165ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426167ffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842616bffffffff,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426187ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842618bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8426199ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261adffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261b3ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261b5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261b7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261b9ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84261e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
