cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
824527fffffffff,2212.0,16.0,0.0
82452ffffffffff,7072.0,392.0,0.0
824537fffffffff,500.0,0.0,0.0
826617fffffffff,938.0,80.0,0.0
82661ffffffffff,49.0,0.0,0.0
8266a7fffffffff,8740.0,706.0,0.0
8266affffffffff,2.0,0.0,0.0
8266b7fffffffff,3569.0,6.0,0.0
8266d7fffffffff,134.0,0.0,10.0
8266f7fffffffff,276.0,0.0,8.0
826797fffffffff,118.0,0.0,0.0
82679ffffffffff,3071.0,0.0,0.0
826d27fffffffff,141.0,26.0,0.0
826d2ffffffffff,392.0,121.0,0.0
826d37fffffffff,188.0,31.0,0.0
826d6ffffffffff,10662.0,0.0,0.0
