cell_id,Apus horus,Apus horus (White-rumped),Apus horus (Brown-rumped)
83529bfffffffff,1.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0
836ac1fffffffff,9.0,0.0,0.0
836ac3fffffffff,17.0,0.0,0.0
836acefffffffff,6.0,0.0,0.0
836ad8fffffffff,1.0,0.0,0.0
836adcfffffffff,30.0,0.0,0.0
836addfffffffff,2.0,0.0,0.0
836adefffffffff,1.0,0.0,0.0
836ae8fffffffff,9.0,0.0,0.0
836aeafffffffff,10.0,0.0,0.0
837a40fffffffff,9.0,0.0,0.0
837a41fffffffff,9.0,0.0,0.0
837a45fffffffff,7.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a4cfffffffff,4.0,0.0,0.0
837a61fffffffff,19.0,0.0,0.0
837a65fffffffff,5.0,0.0,0.0
837a68fffffffff,86.0,0.0,0.0
837a6afffffffff,62.0,0.0,0.0
837a6dfffffffff,52.0,0.0,0.0
837a6efffffffff,22.0,0.0,0.0
837ac8fffffffff,40.0,16.0,0.0
837acafffffffff,20.0,3.0,0.0
837acbfffffffff,1.0,0.0,0.0
837acdfffffffff,8.0,4.0,0.0
837ad9fffffffff,2.0,0.0,0.0
837b48fffffffff,3.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
837b4cfffffffff,2.0,0.0,0.0
837b6bfffffffff,4.0,0.0,0.0
8382a0fffffffff,5.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0
8382d3fffffffff,3.0,0.0,0.0
838326fffffffff,3.0,0.0,1.0
838332fffffffff,3.0,0.0,0.0
838333fffffffff,10.0,0.0,3.0
839614fffffffff,6.0,0.0,0.0
839621fffffffff,4.0,0.0,0.0
839622fffffffff,6.0,0.0,0.0
839623fffffffff,3.0,0.0,0.0
839626fffffffff,2.0,0.0,0.0
839633fffffffff,28.0,5.0,0.0
839690fffffffff,19.0,0.0,0.0
839692fffffffff,151.0,8.0,0.0
839693fffffffff,61.0,13.0,0.0
8396a3fffffffff,2.0,0.0,0.0
8396b1fffffffff,2.0,0.0,0.0
839703fffffffff,2.0,0.0,0.0
839705fffffffff,5.0,0.0,0.0
839709fffffffff,1.0,0.0,0.0
83970afffffffff,1.0,0.0,0.0
83970cfffffffff,3.0,0.0,0.0
839711fffffffff,17.0,0.0,0.0
839713fffffffff,2.0,0.0,0.0
839719fffffffff,3.0,0.0,0.0
83971cfffffffff,7.0,0.0,0.0
839728fffffffff,10.0,4.0,0.0
839729fffffffff,2.0,0.0,0.0
83972cfffffffff,10.0,0.0,0.0
83972dfffffffff,5.0,4.0,0.0
83972efffffffff,17.0,2.0,0.0
839731fffffffff,2.0,0.0,0.0
839735fffffffff,2.0,0.0,0.0
83974bfffffffff,4.0,0.0,0.0
83974efffffffff,2.0,0.0,0.0
839751fffffffff,10.0,2.0,0.0
83975cfffffffff,8.0,0.0,0.0
839772fffffffff,8.0,0.0,0.0
83978dfffffffff,1.0,0.0,0.0
83bc0bfffffffff,1.0,0.0,0.0
83bc42fffffffff,1.0,0.0,0.0
83bc44fffffffff,3.0,0.0,0.0
83bc46fffffffff,1.0,0.0,0.0
83bc52fffffffff,1.0,0.0,0.0
83bc54fffffffff,2.0,2.0,0.0
83bc71fffffffff,2.0,0.0,0.0
83bc73fffffffff,9.0,0.0,0.0
83bcc2fffffffff,3.0,2.0,0.0
83bcc3fffffffff,2.0,2.0,0.0
83bcc4fffffffff,9.0,5.0,0.0
83bcc6fffffffff,60.0,9.0,0.0
83bcd0fffffffff,10.0,2.0,0.0
83bcd1fffffffff,2.0,0.0,0.0
83bcd2fffffffff,20.0,2.0,0.0
83bcd3fffffffff,2.0,0.0,0.0
83bcd4fffffffff,10.0,0.0,0.0
83bcd5fffffffff,8.0,4.0,0.0
83bcd6fffffffff,14.0,4.0,0.0
83bcd8fffffffff,2.0,1.0,0.0
83bcdcfffffffff,11.0,4.0,0.0
83bcddfffffffff,4.0,0.0,0.0
83bcdefffffffff,4.0,0.0,0.0
83bce0fffffffff,2.0,2.0,0.0
83bce1fffffffff,1.0,0.0,0.0
83bce2fffffffff,85.0,17.0,0.0
83bce3fffffffff,3.0,0.0,0.0
83bce6fffffffff,15.0,8.0,0.0
83bce9fffffffff,4.0,0.0,0.0
83bceafffffffff,4.0,0.0,0.0
83bceefffffffff,1.0,0.0,0.0
83bcf0fffffffff,4.0,1.0,0.0
83bcf1fffffffff,3.0,0.0,0.0
83bcf2fffffffff,13.0,0.0,0.0
83bcf3fffffffff,13.0,6.0,0.0
83bcf5fffffffff,46.0,17.0,0.0
83bcf6fffffffff,28.0,5.0,0.0
