cell_id,Thamnophilus bernardi,Thamnophilus bernardi bernardi,Thamnophilus bernardi shumbae
848f081ffffffff,19.0,0.0,0.0
848f083ffffffff,13.0,6.0,0.0
848f087ffffffff,14.0,0.0,0.0
848f089ffffffff,17.0,4.0,0.0
848f08bffffffff,33.0,0.0,0.0
848f091ffffffff,4.0,0.0,0.0
848f093ffffffff,34.0,0.0,0.0
848f095ffffffff,98.0,0.0,0.0
848f097ffffffff,3.0,0.0,0.0
848f099ffffffff,134.0,13.0,0.0
848f09bffffffff,2.0,0.0,0.0
848f09dffffffff,10.0,1.0,0.0
848f0b3ffffffff,2.0,0.0,0.0
848f0b9ffffffff,5.0,0.0,0.0
848f0bbffffffff,10.0,0.0,0.0
848f0c3ffffffff,6.0,2.0,0.0
848f0d1ffffffff,31.0,3.0,0.0
848f0d3ffffffff,526.0,81.0,0.0
848f0d5ffffffff,91.0,10.0,0.0
848f0d7ffffffff,90.0,30.0,0.0
848f0d9ffffffff,8.0,0.0,0.0
848f0dbffffffff,14.0,3.0,0.0
848f0ddffffffff,110.0,4.0,0.0
848f287ffffffff,7.0,0.0,0.0
848f28dffffffff,5.0,0.0,0.0
848f295ffffffff,5.0,0.0,0.0
848f2a1ffffffff,49.0,9.0,0.0
848f2a3ffffffff,79.0,2.0,0.0
848f2a7ffffffff,8.0,0.0,0.0
848f2a9ffffffff,447.0,25.0,0.0
848f2abffffffff,60.0,4.0,0.0
848f2b3ffffffff,2.0,0.0,0.0
848f2b5ffffffff,8.0,0.0,0.0
848f2b9ffffffff,133.0,11.0,0.0
848f2bbffffffff,15.0,2.0,0.0
848f2bdffffffff,278.0,13.0,0.0
848f2e1ffffffff,1.0,0.0,0.0
848f2e3ffffffff,116.0,22.0,0.0
848f2e7ffffffff,9.0,0.0,0.0
848f2ebffffffff,11.0,0.0,0.0
848f501ffffffff,277.0,23.0,0.0
848f503ffffffff,13.0,2.0,0.0
848f505ffffffff,53.0,0.0,0.0
848f507ffffffff,18.0,0.0,0.0
848f509ffffffff,78.0,15.0,0.0
848f50bffffffff,2.0,0.0,0.0
848f50dffffffff,839.0,80.0,0.0
848f515ffffffff,31.0,0.0,0.0
848f517ffffffff,6.0,0.0,0.0
848f51dffffffff,22.0,4.0,0.0
848f541ffffffff,6.0,0.0,0.0
848f543ffffffff,2.0,0.0,0.0
848f545ffffffff,142.0,24.0,0.0
848f547ffffffff,59.0,2.0,0.0
848f549ffffffff,4.0,0.0,0.0
848f54bffffffff,146.0,5.0,74.0
848f54dffffffff,26.0,1.0,0.0
848f555ffffffff,1.0,0.0,0.0
848f55dffffffff,21.0,0.0,13.0
848f563ffffffff,42.0,0.0,0.0
848f569ffffffff,14.0,0.0,0.0
848f56bffffffff,50.0,0.0,0.0
848f5e1ffffffff,14.0,0.0,0.0
848f5ebffffffff,2.0,0.0,0.0
848f725ffffffff,5.0,0.0,0.0
848f72dffffffff,137.0,19.0,0.0
848f737ffffffff,51.0,0.0,29.0
848f767ffffffff,4.0,0.0,0.0
