cell_id,Caryothraustes poliogaster,Caryothraustes poliogaster poliogaster,Caryothraustes poliogaster scapularis
84450c1ffffffff,5.0,0.0,0.0
8445215ffffffff,3.0,0.0,0.0
8445257ffffffff,3.0,0.0,0.0
844528dffffffff,1.0,0.0,0.0
84452a5ffffffff,5.0,0.0,0.0
84452abffffffff,5.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0
84452e1ffffffff,7.0,0.0,0.0
84452e3ffffffff,1.0,0.0,0.0
84452e9ffffffff,3.0,0.0,0.0
84452ebffffffff,3.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
8466a01ffffffff,3.0,0.0,0.0
8466a05ffffffff,6.0,0.0,0.0
8466a2dffffffff,1.0,0.0,0.0
8466a57ffffffff,1.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0
8466b5bffffffff,17.0,0.0,0.0
8467961ffffffff,4.0,0.0,0.0
84679a5ffffffff,11.0,0.0,0.0
84679b7ffffffff,5.0,0.0,0.0
846d21dffffffff,5.0,0.0,0.0
846d23dffffffff,10.0,0.0,0.0
846d2c3ffffffff,3.0,0.0,0.0
846d2c7ffffffff,4.0,0.0,0.0
846d2d1ffffffff,6.0,0.0,0.0
846d2ddffffffff,3.0,0.0,0.0
846d305ffffffff,4.0,0.0,0.0
846d30dffffffff,3.0,0.0,0.0
846d315ffffffff,2.0,0.0,0.0
846d319ffffffff,10.0,0.0,0.0
846d35dffffffff,1.0,0.0,0.0
846d69bffffffff,3.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0
