cell_id,Prinia flaviventris,Prinia flaviventris [flaviventris Group],Prinia flaviventris sonitans
823c37fffffffff,3.0,0.0,0.0
823c5ffffffffff,2.0,2.0,0.0
823c8ffffffffff,15.0,0.0,0.0
823cc7fffffffff,2.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823ceffffffffff,17.0,0.0,0.0
823cf7fffffffff,42.0,0.0,0.0
823d17fffffffff,14.0,0.0,0.0
823d37fffffffff,12.0,0.0,0.0
823da7fffffffff,27.0,0.0,0.0
823daffffffffff,2.0,0.0,0.0
82415ffffffffff,7.0,0.0,7.0
8241b7fffffffff,3.0,0.0,3.0
824b87fffffffff,13.0,0.0,0.0
824ba7fffffffff,116.0,0.0,0.0
824bb7fffffffff,119.0,0.0,0.0
8264a7fffffffff,5.0,0.0,0.0
826507fffffffff,181.0,0.0,0.0
82650ffffffffff,4.0,0.0,0.0
82651ffffffffff,230.0,0.0,0.0
826527fffffffff,39.0,0.0,0.0
826587fffffffff,3.0,3.0,0.0
82659ffffffffff,3.0,0.0,0.0
826817fffffffff,8.0,8.0,0.0
82681ffffffffff,20.0,20.0,0.0
8295a7fffffffff,5.0,1.0,0.0
