cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
834508fffffffff,27.0,3.0,0.0,0.0
83450afffffffff,86.0,7.0,0.0,0.0
83450bfffffffff,17.0,0.0,0.0,0.0
83450cfffffffff,31.0,0.0,0.0,0.0
83450dfffffffff,19.0,0.0,0.0,0.0
83450efffffffff,165.0,17.0,0.0,0.0
834520fffffffff,350.0,0.0,0.0,0.0
834521fffffffff,83.0,0.0,0.0,0.0
834522fffffffff,78.0,0.0,0.0,0.0
834523fffffffff,90.0,0.0,0.0,0.0
834524fffffffff,309.0,0.0,0.0,0.0
834525fffffffff,88.0,0.0,0.0,0.0
834526fffffffff,514.0,0.0,0.0,0.0
834528fffffffff,495.0,12.0,0.0,0.0
834529fffffffff,5.0,0.0,0.0,0.0
83452afffffffff,207.0,5.0,0.0,0.0
83452bfffffffff,61.0,4.0,0.0,0.0
83452cfffffffff,268.0,0.0,0.0,0.0
83452dfffffffff,228.0,6.0,0.0,0.0
83452efffffffff,1599.0,0.0,0.0,0.0
834530fffffffff,30.0,0.0,0.0,0.0
834531fffffffff,14.0,0.0,0.0,0.0
834532fffffffff,13.0,0.0,0.0,0.0
834534fffffffff,71.0,0.0,0.0,0.0
834535fffffffff,244.0,0.0,0.0,0.0
834536fffffffff,17.0,0.0,0.0,0.0
834564fffffffff,38.0,0.0,0.0,0.0
834990fffffffff,28.0,0.0,0.0,0.0
834991fffffffff,22.0,0.0,0.0,0.0
834996fffffffff,533.0,212.0,0.0,0.0
83499cfffffffff,12.0,0.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0,0.0
8349b1fffffffff,31.0,0.0,0.0,0.0
8349b5fffffffff,100.0,0.0,0.0,0.0
8349b6fffffffff,7.0,0.0,0.0,0.0
835f00fffffffff,1.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,15.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0
835f11fffffffff,1.0,0.0,0.0,0.0
835f14fffffffff,14.0,0.0,0.0,0.0
835f16fffffffff,2.0,0.0,0.0,0.0
835f48fffffffff,7.0,0.0,0.0,0.0
835f49fffffffff,1.0,0.0,0.0,0.0
835f4afffffffff,35.0,0.0,0.0,0.0
835f4bfffffffff,46.0,0.0,0.0,0.0
835f54fffffffff,2.0,0.0,0.0,0.0
835f58fffffffff,701.0,0.0,0.0,0.0
835f59fffffffff,3.0,0.0,0.0,0.0
835f5bfffffffff,331.0,0.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0,0.0
835f75fffffffff,20.0,0.0,0.0,0.0
836601fffffffff,3.0,0.0,0.0,0.0
836608fffffffff,493.0,0.0,0.0,1.0
836609fffffffff,4.0,0.0,0.0,0.0
83660afffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,66.0,0.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0,0.0
83660dfffffffff,10.0,0.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0,0.0
836611fffffffff,4.0,0.0,0.0,2.0
836613fffffffff,97.0,0.0,0.0,7.0
836618fffffffff,119.0,0.0,0.0,0.0
836619fffffffff,321.0,0.0,0.0,0.0
83661afffffffff,5.0,0.0,0.0,0.0
83661bfffffffff,765.0,0.0,0.0,61.0
83661cfffffffff,49.0,0.0,0.0,0.0
83661dfffffffff,509.0,0.0,0.0,0.0
83661efffffffff,6.0,0.0,0.0,0.0
836621fffffffff,17.0,0.0,0.0,0.0
836629fffffffff,11.0,0.0,0.0,0.0
83662bfffffffff,7.0,0.0,0.0,0.0
83662dfffffffff,37.0,0.0,0.0,0.0
83662efffffffff,11.0,0.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0,0.0
836656fffffffff,48.0,0.0,0.0,0.0
83665afffffffff,6.0,0.0,0.0,0.0
83665efffffffff,5.0,0.0,0.0,0.0
8366a0fffffffff,941.0,0.0,682.0,0.0
8366a2fffffffff,8.0,0.0,7.0,0.0
8366a3fffffffff,1.0,0.0,0.0,0.0
8366a5fffffffff,776.0,0.0,516.0,0.0
8366b4fffffffff,4868.0,0.0,66.0,0.0
8366b5fffffffff,1879.0,13.0,345.0,0.0
8366c0fffffffff,17.0,0.0,0.0,0.0
8366c1fffffffff,14.0,0.0,0.0,0.0
8366c2fffffffff,66.0,0.0,0.0,0.0
8366c3fffffffff,1.0,0.0,0.0,0.0
8366c4fffffffff,20.0,0.0,0.0,0.0
8366c5fffffffff,28.0,0.0,0.0,0.0
8366c6fffffffff,104.0,0.0,0.0,0.0
8366cefffffffff,37.0,0.0,0.0,0.0
8366d0fffffffff,230.0,0.0,0.0,13.0
8366d1fffffffff,262.0,0.0,0.0,0.0
8366d2fffffffff,44.0,0.0,0.0,4.0
8366d3fffffffff,1176.0,0.0,0.0,110.0
8366d5fffffffff,2.0,0.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0,0.0
8366dafffffffff,96.0,0.0,0.0,5.0
8366dbfffffffff,2.0,0.0,0.0,0.0
8366dcfffffffff,132.0,0.0,0.0,17.0
8366ddfffffffff,20.0,0.0,0.0,3.0
8366defffffffff,902.0,0.0,0.0,95.0
8366e0fffffffff,31.0,0.0,0.0,0.0
8366e2fffffffff,5.0,0.0,0.0,0.0
8366e3fffffffff,17.0,0.0,0.0,0.0
8366e5fffffffff,48.0,0.0,0.0,0.0
8366e6fffffffff,1605.0,0.0,0.0,57.0
8366e8fffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,178.0,0.0,0.0,0.0
8366eefffffffff,17.0,0.0,0.0,0.0
8366f0fffffffff,60.0,0.0,0.0,0.0
8366f1fffffffff,1651.0,0.0,0.0,21.0
8366f3fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,554.0,0.0,0.0,7.0
836741fffffffff,621.0,0.0,0.0,10.0
836742fffffffff,60.0,0.0,0.0,2.0
836743fffffffff,466.0,0.0,0.0,12.0
83674cfffffffff,334.0,0.0,0.0,0.0
83674efffffffff,419.0,0.0,0.0,9.0
836751fffffffff,43.0,0.0,0.0,0.0
836753fffffffff,4.0,0.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0,0.0
83675afffffffff,18.0,0.0,0.0,0.0
83675cfffffffff,124.0,0.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0,0.0
83675efffffffff,53.0,0.0,0.0,0.0
836792fffffffff,4.0,0.0,0.0,0.0
836794fffffffff,1.0,0.0,0.0,0.0
836796fffffffff,23.0,0.0,0.0,0.0
83679afffffffff,34.0,0.0,0.0,0.0
836d04fffffffff,39.0,0.0,0.0,0.0
836d05fffffffff,837.0,336.0,0.0,0.0
836d14fffffffff,1.0,0.0,0.0,0.0
836d15fffffffff,4.0,0.0,0.0,0.0
836d20fffffffff,37.0,4.0,0.0,0.0
836d21fffffffff,241.0,53.0,0.0,0.0
836d22fffffffff,50.0,2.0,0.0,0.0
836d23fffffffff,515.0,91.0,0.0,0.0
836d28fffffffff,41.0,0.0,0.0,0.0
836d29fffffffff,504.0,0.0,0.0,0.0
836d2afffffffff,124.0,10.0,0.0,0.0
836d2bfffffffff,1188.0,0.0,0.0,0.0
836d2cfffffffff,322.0,52.0,0.0,0.0
836d2dfffffffff,2546.0,0.0,0.0,0.0
836d2efffffffff,48.0,6.0,0.0,0.0
836d30fffffffff,335.0,60.0,0.0,0.0
836d31fffffffff,48.0,14.0,0.0,0.0
836d33fffffffff,278.0,19.0,0.0,0.0
836d34fffffffff,58.0,12.0,0.0,0.0
836d35fffffffff,341.0,36.0,0.0,0.0
836d36fffffffff,28.0,4.0,0.0,0.0
836d60fffffffff,15.0,0.0,0.0,0.0
836d64fffffffff,47.0,0.0,0.0,0.0
836d65fffffffff,1047.0,0.0,0.0,0.0
836d66fffffffff,148.0,0.0,0.0,0.0
836d68fffffffff,233.0,0.0,103.0,0.0
836d69fffffffff,7638.0,0.0,3298.0,0.0
836d6dfffffffff,2.0,0.0,0.0,0.0
836d74fffffffff,78.0,0.0,0.0,0.0
83814dfffffffff,11.0,0.0,0.0,0.0
83814efffffffff,14.0,0.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0,0.0
838a10fffffffff,8.0,0.0,0.0,0.0
838a14fffffffff,2.0,0.0,0.0,0.0
838a15fffffffff,12.0,0.0,0.0,0.0
838a21fffffffff,5.0,0.0,0.0,0.0
838a24fffffffff,9.0,0.0,0.0,6.0
838a33fffffffff,9.0,0.0,0.0,0.0
838a35fffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,75.0,0.0,0.0,0.0
838a52fffffffff,5.0,0.0,0.0,0.0
838a63fffffffff,9.0,0.0,0.0,0.0
838a69fffffffff,31.0,0.0,0.0,0.0
838a6bfffffffff,3.0,0.0,0.0,0.0
838a6dfffffffff,94.0,0.0,0.0,0.0
838a6efffffffff,2.0,0.0,0.0,0.0
838a70fffffffff,7.0,0.0,0.0,0.0
838a73fffffffff,4.0,0.0,0.0,0.0
838a75fffffffff,3.0,0.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0,0.0
838a85fffffffff,3.0,0.0,0.0,0.0
838aa9fffffffff,2.0,0.0,0.0,0.0
838aacfffffffff,10.0,0.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0,0.0
838ae5fffffffff,14.0,0.0,0.0,0.0
838af0fffffffff,1.0,0.0,0.0,0.0
838af2fffffffff,3.0,0.0,0.0,0.0
838af4fffffffff,9.0,0.0,0.0,0.0
838af6fffffffff,4.0,0.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0,0.0
838b22fffffffff,19.0,0.0,0.0,0.0
838b23fffffffff,4.0,0.0,0.0,0.0
838b28fffffffff,2.0,0.0,0.0,0.0
838b2cfffffffff,2.0,0.0,0.0,0.0
838b2efffffffff,2.0,0.0,0.0,0.0
838b40fffffffff,55.0,0.0,0.0,0.0
838b42fffffffff,4.0,0.0,0.0,0.0
838b44fffffffff,299.0,0.0,0.0,0.0
838b45fffffffff,17.0,0.0,0.0,0.0
838b46fffffffff,28.0,0.0,0.0,0.0
838b48fffffffff,1.0,0.0,0.0,0.0
838b4efffffffff,16.0,0.0,0.0,0.0
838b50fffffffff,2.0,0.0,0.0,0.0
838b51fffffffff,18.0,0.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0,0.0
838b56fffffffff,4.0,0.0,0.0,0.0
838b5cfffffffff,30.0,0.0,0.0,3.0
838b5dfffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,99.0,0.0,0.0,0.0
