cell_id,Cichlopsis leucogenys,Cichlopsis leucogenys chubbi,Cichlopsis leucogenys peruviana,Cichlopsis leucogenys gularis,Cichlopsis leucogenys leucogenys
845f711ffffffff,4.0,0.0,0.0,4.0,0.0
845f763ffffffff,1.0,0.0,0.0,0.0,0.0
8466d03ffffffff,2.0,0.0,0.0,0.0,0.0
8466d0bffffffff,218.0,0.0,0.0,0.0,0.0
8466d31ffffffff,199.0,19.0,0.0,0.0,1.0
8466d35ffffffff,1.0,1.0,0.0,0.0,0.0
8466d3dffffffff,6.0,1.0,0.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0,0.0,0.0
8466f1dffffffff,1.0,0.0,0.0,0.0,0.0
8466f5dffffffff,2.0,0.0,0.0,0.0,0.0
8481341ffffffff,1.0,0.0,0.0,0.0,0.0
848134dffffffff,4.0,0.0,0.0,0.0,1.0
8481363ffffffff,22.0,0.0,0.0,0.0,1.0
84a8919ffffffff,8.0,0.0,0.0,0.0,0.0
