cell_id,Saucerottia beryllina,Saucerottia beryllina beryllina/viola,Saucerottia beryllina [devillei Group]
834520fffffffff,3.0,0.0,0.0
834524fffffffff,270.0,0.0,0.0
834525fffffffff,18.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
834801fffffffff,3.0,0.0,0.0
834802fffffffff,5.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0
834806fffffffff,1.0,0.0,0.0
83480afffffffff,206.0,0.0,0.0
834814fffffffff,2.0,0.0,0.0
834815fffffffff,4.0,0.0,0.0
834818fffffffff,4.0,0.0,0.0
834819fffffffff,20.0,0.0,0.0
83481dfffffffff,28.0,0.0,0.0
834832fffffffff,19.0,0.0,0.0
834833fffffffff,403.0,0.0,0.0
834836fffffffff,1765.0,30.0,0.0
8348e0fffffffff,8.0,0.0,0.0
8348e4fffffffff,69.0,0.0,0.0
8348e6fffffffff,2.0,0.0,0.0
834980fffffffff,1279.0,0.0,0.0
834981fffffffff,12.0,0.0,0.0
834982fffffffff,62.0,0.0,0.0
834983fffffffff,7.0,0.0,0.0
834985fffffffff,135.0,9.0,0.0
834986fffffffff,329.0,51.0,0.0
83498cfffffffff,50.0,3.0,0.0
83498dfffffffff,5.0,0.0,0.0
83498efffffffff,6.0,0.0,0.0
834990fffffffff,3.0,0.0,0.0
834994fffffffff,279.0,2.0,0.0
834995fffffffff,8190.0,975.0,0.0
834996fffffffff,811.0,29.0,0.0
8349a2fffffffff,15.0,0.0,0.0
8349a3fffffffff,3.0,0.0,0.0
8349a8fffffffff,507.0,11.0,0.0
8349a9fffffffff,523.0,33.0,0.0
8349aafffffffff,453.0,34.0,0.0
8349abfffffffff,346.0,12.0,0.0
8349aefffffffff,1.0,0.0,0.0
8349b0fffffffff,3.0,0.0,0.0
8349b1fffffffff,67.0,0.0,0.0
8349b2fffffffff,343.0,0.0,0.0
8349b3fffffffff,655.0,22.0,0.0
8349b5fffffffff,186.0,0.0,0.0
8349b6fffffffff,12.0,1.0,0.0
836d04fffffffff,35.0,0.0,4.0
836d05fffffffff,651.0,0.0,49.0
836d14fffffffff,2.0,0.0,0.0
836d21fffffffff,11.0,0.0,0.0
836d22fffffffff,13.0,0.0,0.0
836d23fffffffff,834.0,0.0,35.0
836d28fffffffff,20.0,0.0,0.0
836d29fffffffff,854.0,0.0,0.0
836d2afffffffff,7.0,0.0,0.0
836d2bfffffffff,1311.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d2efffffffff,101.0,0.0,0.0
836d30fffffffff,318.0,14.0,0.0
836d32fffffffff,2698.0,180.0,0.0
836d33fffffffff,877.0,77.0,0.0
836d34fffffffff,2.0,0.0,0.0
836d36fffffffff,67.0,0.0,0.0
836d66fffffffff,180.0,0.0,0.0
836d74fffffffff,980.0,0.0,0.0
836d75fffffffff,160.0,0.0,0.0
836d76fffffffff,11.0,0.0,0.0
