cell_id,Premnoplex tatei,Premnoplex tatei tatei,Premnoplex tatei pariae
845f483ffffffff,1.0,0.0,0.0
845f487ffffffff,26.0,0.0,0.0
845f4a7ffffffff,16.0,0.0,3.0
845f4abffffffff,1.0,0.0,0.0
845f4b9ffffffff,3.0,0.0,0.0
845f4bdffffffff,5.0,1.0,0.0
845f591ffffffff,2.0,0.0,0.0
845f59bffffffff,2.0,0.0,0.0
