cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
824527fffffffff,1047.0,0.0,0.0
82452ffffffffff,3406.0,94.0,0.0
824537fffffffff,100.0,0.0,0.0
826607fffffffff,6.0,0.0,0.0
826617fffffffff,1830.0,0.0,130.0
826627fffffffff,16.0,0.0,0.0
826637fffffffff,40.0,0.0,0.0
826687fffffffff,19.0,0.0,0.0
8266a7fffffffff,431.0,0.0,17.0
8266b7fffffffff,4520.0,0.0,2.0
826797fffffffff,71.0,0.0,0.0
82679ffffffffff,120.0,0.0,0.0
826d27fffffffff,10.0,0.0,0.0
826d2ffffffffff,203.0,48.0,0.0
826d67fffffffff,155.0,0.0,0.0
826d6ffffffffff,12376.0,0.0,0.0
