cell_id,Leucocarbo atriceps,Leucocarbo atriceps (Blue-eyed),Leucocarbo atriceps (King)
82b2dffffffffff,11.0,0.0,0.0
82c307fffffffff,62.0,0.0,0.0
82c30ffffffffff,15.0,0.0,0.0
82c327fffffffff,296.0,0.0,0.0
82c32ffffffffff,518.0,0.0,0.0
82ce17fffffffff,99.0,9.0,0.0
82ce37fffffffff,10.0,0.0,0.0
82ce87fffffffff,17.0,0.0,0.0
82ce8ffffffffff,153.0,0.0,0.0
82cea7fffffffff,349.0,2.0,0.0
82ceaffffffffff,3472.0,403.0,0.0
82cf17fffffffff,421.0,21.0,7.0
82cf1ffffffffff,4.0,0.0,0.0
82cf37fffffffff,33.0,0.0,0.0
82cf8ffffffffff,82.0,17.0,1.0
82cf97fffffffff,341.0,3.0,4.0
82cf9ffffffffff,109.0,0.0,0.0
82cfa7fffffffff,2747.0,7.0,4.0
82cfaffffffffff,39.0,0.0,0.0
82cfb7fffffffff,122.0,0.0,0.0
82de67fffffffff,358.0,5.0,121.0
82de6ffffffffff,3.0,0.0,0.0
82de77fffffffff,644.0,6.0,253.0
82df0ffffffffff,2.0,0.0,0.0
82df47fffffffff,2549.0,107.0,169.0
82df4ffffffffff,114.0,0.0,0.0
82df57fffffffff,2.0,0.0,0.0
82df5ffffffffff,41.0,0.0,1.0
82df67fffffffff,22.0,0.0,0.0
82df6ffffffffff,3134.0,98.0,110.0
82df77fffffffff,2.0,0.0,1.0
