cell_id,Apalis nigriceps,Apalis nigriceps nigriceps,Apalis nigriceps collaris
8458833ffffffff,1.0,0.0,0.0
846ac0bffffffff,2.0,0.0,0.0
846ac15ffffffff,2.0,0.0,0.0
846acd5ffffffff,4.0,0.0,0.0
846adc1ffffffff,8.0,0.0,0.0
846aea1ffffffff,17.0,0.0,0.0
846aea5ffffffff,1.0,0.0,0.0
8475085ffffffff,68.0,0.0,0.0
8475087ffffffff,13.0,4.0,0.0
84750d1ffffffff,28.0,0.0,0.0
84750d7ffffffff,1.0,0.0,0.0
84750d9ffffffff,7.0,0.0,0.0
84750ddffffffff,4.0,0.0,0.0
84751d7ffffffff,2.0,0.0,0.0
8475201ffffffff,4.0,0.0,0.0
8475295ffffffff,187.0,19.0,0.0
84752b5ffffffff,2.0,0.0,0.0
84752d3ffffffff,1.0,0.0,0.0
84752e9ffffffff,1.0,0.0,0.0
847581bffffffff,1.0,0.0,0.0
8475a07ffffffff,4.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475ab9ffffffff,2.0,0.0,0.0
8475b51ffffffff,1.0,0.0,0.0
84828adffffffff,1.0,0.0,0.0
84828bdffffffff,1.0,0.0,0.0
8482a31ffffffff,2.0,0.0,0.0
8482a37ffffffff,6.0,0.0,0.0
8482aadffffffff,1.0,0.0,0.0
8482b13ffffffff,1.0,0.0,0.0
8482d03ffffffff,3.0,0.0,0.0
8482d1dffffffff,12.0,10.0,0.0
8482d27ffffffff,17.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482d3dffffffff,1.0,0.0,0.0
8482d4dffffffff,1.0,0.0,0.0
