cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
8272d7fffffffff,2.0,2.0,0.0,0.0,0.0
8272dffffffffff,1.0,1.0,0.0,0.0,0.0
829457fffffffff,1.0,0.0,0.0,0.0,0.0
82945ffffffffff,1.0,0.0,0.0,0.0,0.0
82956ffffffffff,3.0,0.0,0.0,0.0,0.0
829c8ffffffffff,8.0,0.0,0.0,0.0,0.0
829ca7fffffffff,5.0,0.0,0.0,0.0,0.0
829caffffffffff,8.0,3.0,0.0,0.0,0.0
829cd7fffffffff,11.0,9.0,0.0,0.0,0.0
829d9ffffffffff,2.0,2.0,0.0,0.0,0.0
