cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
82660ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,19.0,0.0,0.0,12.0,0.0,0.0
826627fffffffff,6.0,1.0,0.0,5.0,0.0,0.0
8266c7fffffffff,5.0,0.0,0.0,4.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,16.0,0.0,5.0,11.0,0.0,0.0
8266f7fffffffff,6.0,0.0,2.0,1.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,23.0,0.0,0.0,0.0,0.0,23.0
828b6ffffffffff,2.0,0.0,0.0,0.0,0.0,2.0
828e67fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
828f2ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0,0.0,3.0,0.0
828f77fffffffff,8.0,0.0,0.0,0.0,8.0,0.0
