cell_id,Crypturellus obsoletus,Crypturellus obsoletus castaneus,Crypturellus obsoletus [obsoletus Group]
82662ffffffffff,6.0,0.0,0.0
826747fffffffff,14.0,0.0,0.0
82674ffffffffff,15.0,0.0,0.0
826757fffffffff,20.0,0.0,0.0
82675ffffffffff,28.0,0.0,0.0
828117fffffffff,10.0,0.0,0.0
828127fffffffff,1.0,0.0,0.0
828137fffffffff,221.0,0.0,2.0
828a37fffffffff,2.0,0.0,1.0
828b0ffffffffff,2.0,0.0,0.0
828b27fffffffff,228.0,0.0,0.0
828b2ffffffffff,81.0,0.0,0.0
828b47fffffffff,71.0,0.0,0.0
828b4ffffffffff,14.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b5ffffffffff,9.0,0.0,0.0
828b67fffffffff,667.0,0.0,0.0
828b6ffffffffff,186.0,0.0,0.0
828b77fffffffff,118.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0
828e67fffffffff,440.0,0.0,0.0
828f47fffffffff,80.0,0.0,0.0
828f4ffffffffff,71.0,0.0,0.0
828f57fffffffff,3.0,0.0,0.0
828f5ffffffffff,71.0,0.0,0.0
828f77fffffffff,48.0,0.0,0.0
82a597fffffffff,15.0,0.0,0.0
82a807fffffffff,712.0,0.0,79.0
82a80ffffffffff,1.0,0.0,0.0
82a817fffffffff,3874.0,0.0,198.0
82a81ffffffffff,73.0,0.0,4.0
82a827fffffffff,271.0,0.0,3.0
82a82ffffffffff,59.0,0.0,0.0
82a837fffffffff,642.0,0.0,17.0
82a877fffffffff,7.0,0.0,0.0
82a887fffffffff,623.0,0.0,46.0
82a88ffffffffff,8.0,0.0,3.0
82a897fffffffff,113.0,0.0,5.0
82a8a7fffffffff,1525.0,0.0,60.0
82a8affffffffff,286.0,0.0,5.0
82a907fffffffff,16.0,0.0,1.0
82a90ffffffffff,224.0,0.0,12.0
82a91ffffffffff,503.0,0.0,19.0
82a92ffffffffff,26.0,0.0,0.0
82a947fffffffff,129.0,0.0,0.0
82a957fffffffff,1369.0,0.0,7.0
82a95ffffffffff,82.0,0.0,0.0
82a977fffffffff,18.0,0.0,3.0
82b327fffffffff,85.0,0.0,0.0
82b367fffffffff,2.0,0.0,0.0
