cell_id,Myzomela wakoloensis,Myzomela wakoloensis elisabethae,Myzomela wakoloensis wakoloensis
839544fffffffff,129.0,0.0,84.0
83954dfffffffff,1.0,1.0,0.0
83956afffffffff,101.0,63.0,0.0
83956bfffffffff,28.0,18.0,0.0
