cell_id,Cepphus columba,Cepphus columba snowi,Cepphus columba [columba Group]
820c47fffffffff,10.0,0.0,2.0
820c57fffffffff,8.0,0.0,0.0
820c5ffffffffff,30.0,0.0,0.0
820ca7fffffffff,65.0,0.0,0.0
820cc7fffffffff,5.0,0.0,0.0
820cdffffffffff,2.0,0.0,0.0
821297fffffffff,1.0,0.0,0.0
82129ffffffffff,7.0,0.0,1.0
8212b7fffffffff,2.0,0.0,0.0
821397fffffffff,1.0,0.0,0.0
8222d7fffffffff,32.0,0.0,0.0
8222dffffffffff,5.0,0.0,0.0
8222effffffffff,5.0,0.0,0.0
822807fffffffff,70.0,0.0,0.0
82281ffffffffff,76.0,0.0,1.0
822837fffffffff,1277.0,0.0,12.0
8228c7fffffffff,29.0,0.0,1.0
8228cffffffffff,2.0,0.0,0.0
8228d7fffffffff,30.0,0.0,1.0
8228dffffffffff,21.0,0.0,1.0
8228e7fffffffff,5.0,0.0,0.0
8228f7fffffffff,16.0,0.0,0.0
822917fffffffff,56.0,0.0,2.0
82291ffffffffff,49.0,0.0,11.0
8229a7fffffffff,118.0,0.0,0.0
8229affffffffff,64.0,0.0,0.0
822ea7fffffffff,1.0,0.0,1.0
82484ffffffffff,1.0,0.0,0.0
