cell_id,Cisticola ayresii,Cisticola ayresii gabun,Cisticola ayresii [ayresii Group]
826a5ffffffffff,8.0,0.0,0.0
826ac7fffffffff,76.0,0.0,0.0
826acffffffffff,13.0,0.0,0.0
826adffffffffff,14.0,0.0,0.0
826aeffffffffff,21.0,0.0,0.0
827a4ffffffffff,11.0,0.0,0.0
827a6ffffffffff,85.0,0.0,0.0
828327fffffffff,5.0,0.0,5.0
828337fffffffff,4.0,0.0,2.0
82960ffffffffff,21.0,0.0,0.0
829637fffffffff,1.0,0.0,0.0
829657fffffffff,14.0,0.0,4.0
8296a7fffffffff,38.0,0.0,0.0
8296b7fffffffff,10.0,0.0,0.0
829707fffffffff,17.0,0.0,0.0
82971ffffffffff,3.0,0.0,0.0
82bc0ffffffffff,2.0,0.0,0.0
82bc1ffffffffff,7.0,0.0,6.0
82bc57fffffffff,1.0,0.0,0.0
82bc8ffffffffff,2.0,0.0,0.0
82bcc7fffffffff,281.0,0.0,51.0
82bcd7fffffffff,224.0,0.0,59.0
82bcdffffffffff,41.0,0.0,11.0
82bce7fffffffff,271.0,0.0,91.0
82bceffffffffff,4.0,0.0,0.0
82bcf7fffffffff,450.0,0.0,160.0
