cell_id,Dicrurus caerulescens,Dicrurus caerulescens caerulescens,Dicrurus caerulescens leucopygialis/insularis
823c07fffffffff,19.0,0.0,0.0
823c17fffffffff,172.0,0.0,0.0
823c1ffffffffff,88.0,0.0,0.0
823c37fffffffff,145.0,0.0,0.0
823c87fffffffff,87.0,0.0,0.0
823c8ffffffffff,176.0,0.0,0.0
823c97fffffffff,560.0,0.0,0.0
823ca7fffffffff,128.0,0.0,0.0
823caffffffffff,93.0,0.0,0.0
823cb7fffffffff,2687.0,0.0,0.0
823d17fffffffff,218.0,0.0,0.0
823d87fffffffff,862.0,0.0,0.0
823d8ffffffffff,208.0,0.0,0.0
823d97fffffffff,559.0,0.0,0.0
823d9ffffffffff,2521.0,0.0,0.0
823da7fffffffff,169.0,0.0,0.0
823daffffffffff,380.0,0.0,0.0
823db7fffffffff,600.0,0.0,0.0
8242c7fffffffff,2.0,0.0,0.0
8242cffffffffff,628.0,0.0,0.0
8242d7fffffffff,2.0,0.0,0.0
8242dffffffffff,154.0,0.0,0.0
8242effffffffff,166.0,0.0,0.0
826007fffffffff,12.0,0.0,0.0
826017fffffffff,2412.0,0.0,0.0
826027fffffffff,56.0,0.0,0.0
826037fffffffff,1263.0,0.0,0.0
826087fffffffff,68.0,0.0,0.0
82608ffffffffff,1222.0,0.0,0.0
826097fffffffff,1480.0,0.0,0.0
82609ffffffffff,230.0,0.0,0.0
8260a7fffffffff,1201.0,0.0,0.0
8260affffffffff,678.0,0.0,0.0
8260b7fffffffff,416.0,0.0,0.0
8260f7fffffffff,2.0,0.0,0.0
826107fffffffff,2293.0,0.0,227.0
826117fffffffff,377.0,0.0,21.0
82611ffffffffff,1816.0,0.0,53.0
82618ffffffffff,653.0,0.0,0.0
82619ffffffffff,17.0,0.0,0.0
