cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
834530fffffffff,46.0,0.0,0.0
834532fffffffff,118.0,7.0,0.0
834534fffffffff,14.0,0.0,0.0
834536fffffffff,130.0,88.0,0.0
836602fffffffff,2.0,0.0,0.0
836603fffffffff,6.0,0.0,0.0
836608fffffffff,715.0,7.0,6.0
836609fffffffff,3.0,0.0,0.0
83660afffffffff,902.0,72.0,22.0
83660bfffffffff,15.0,0.0,0.0
83660cfffffffff,8.0,0.0,6.0
83660dfffffffff,76.0,0.0,2.0
83660efffffffff,60.0,0.0,6.0
836610fffffffff,1211.0,280.0,0.0
836611fffffffff,133.0,68.0,0.0
836612fffffffff,1.0,0.0,0.0
836613fffffffff,799.0,270.0,0.0
836616fffffffff,509.0,176.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,844.0,139.0,41.0
83661afffffffff,497.0,105.0,12.0
83661bfffffffff,117.0,27.0,0.0
83661cfffffffff,286.0,77.0,0.0
83661dfffffffff,107.0,30.0,1.0
83661efffffffff,621.0,47.0,0.0
836621fffffffff,528.0,0.0,137.0
836629fffffffff,126.0,0.0,15.0
83662bfffffffff,32.0,0.0,1.0
83662dfffffffff,59.0,0.0,2.0
83662efffffffff,62.0,0.0,0.0
836656fffffffff,7.0,0.0,0.0
836674fffffffff,1.0,0.0,0.0
8366a0fffffffff,132.0,9.0,0.0
8366a5fffffffff,5955.0,1578.0,0.0
8366a6fffffffff,221.0,39.0,0.0
8366a9fffffffff,16.0,0.0,0.0
8366b0fffffffff,4934.0,0.0,0.0
8366b1fffffffff,45.0,2.0,0.0
8366b4fffffffff,4555.0,0.0,0.0
8366b5fffffffff,5744.0,156.0,0.0
8366b6fffffffff,551.0,0.0,0.0
8366c0fffffffff,347.0,0.0,0.0
8366c2fffffffff,434.0,0.0,12.0
8366c4fffffffff,8.0,0.0,0.0
8366c6fffffffff,27.0,0.0,0.0
8366d0fffffffff,738.0,163.0,0.0
8366d1fffffffff,79.0,0.0,12.0
8366d2fffffffff,388.0,159.0,0.0
8366d3fffffffff,5322.0,2167.0,0.0
8366d4fffffffff,8.0,0.0,0.0
8366d5fffffffff,54.0,31.0,0.0
8366dafffffffff,8.0,0.0,3.0
8366defffffffff,1645.0,0.0,659.0
8366e0fffffffff,8.0,0.0,0.0
8366e3fffffffff,88.0,0.0,0.0
8366e4fffffffff,10.0,0.0,0.0
8366e5fffffffff,2.0,0.0,0.0
8366f0fffffffff,1909.0,514.0,23.0
8366f1fffffffff,26.0,5.0,0.0
8366f3fffffffff,95.0,0.0,0.0
8366f5fffffffff,8.0,0.0,0.0
83674cfffffffff,15.0,0.0,0.0
83675afffffffff,54.0,0.0,3.0
83675cfffffffff,3.0,0.0,0.0
836790fffffffff,8.0,0.0,0.0
836792fffffffff,3.0,0.0,0.0
836793fffffffff,12.0,12.0,0.0
836794fffffffff,18.0,0.0,0.0
836796fffffffff,129.0,12.0,0.0
83679afffffffff,7704.0,0.0,0.0
83679bfffffffff,1490.0,7.0,0.0
836d65fffffffff,5.0,0.0,0.0
836d68fffffffff,2803.0,0.0,0.0
836d69fffffffff,18074.0,0.0,0.0
836d6dfffffffff,1005.0,39.0,0.0
838e64fffffffff,27.0,0.0,12.0
838f0dfffffffff,988.0,501.0,0.0
838f28fffffffff,2.0,2.0,0.0
838f29fffffffff,23.0,7.0,0.0
838f2afffffffff,265.0,69.0,0.0
838f2bfffffffff,69.0,14.0,0.0
838f2cfffffffff,289.0,59.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,39.0,0.0,13.0
838f46fffffffff,54.0,0.0,21.0
838f4afffffffff,39.0,0.0,2.0
838f5cfffffffff,4.0,0.0,0.0
838f5dfffffffff,29.0,0.0,0.0
838f72fffffffff,9.0,0.0,6.0
838f73fffffffff,11.0,0.0,5.0
838f76fffffffff,27.0,0.0,0.0
