cell_id,Asthenes fuliginosa,Asthenes fuliginosa fumigata,Asthenes fuliginosa fuliginosa,Asthenes fuliginosa peruviana/plengei
836608fffffffff,12.0,0.0,0.0,0.0
836609fffffffff,18.0,0.0,0.0,0.0
83660bfffffffff,148.0,0.0,0.0,0.0
83660cfffffffff,51.0,0.0,0.0,0.0
83660dfffffffff,21.0,0.0,0.0,0.0
8366c2fffffffff,134.0,0.0,0.0,0.0
8366c6fffffffff,23.0,0.0,0.0,0.0
8366d1fffffffff,30.0,0.0,0.0,0.0
8366d3fffffffff,59.0,0.0,0.0,0.0
8366defffffffff,1087.0,0.0,43.0,0.0
8366e0fffffffff,287.0,0.0,0.0,0.0
8366e4fffffffff,363.0,0.0,0.0,0.0
8366e5fffffffff,160.0,0.0,0.0,0.0
8366e6fffffffff,710.0,0.0,0.0,0.0
8366f1fffffffff,1.0,0.0,0.0,0.0
838e64fffffffff,4.0,0.0,0.0,0.0
838f2dfffffffff,5.0,0.0,0.0,0.0
838f42fffffffff,28.0,0.0,0.0,0.0
838f46fffffffff,3.0,0.0,0.0,0.0
838f4afffffffff,22.0,0.0,0.0,0.0
838f55fffffffff,186.0,0.0,0.0,0.0
838f59fffffffff,176.0,0.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0,0.0
838f5dfffffffff,18.0,0.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0,0.0
