cell_id,Chlorospingus flavigularis,Chlorospingus flavigularis hypophaeus,Chlorospingus flavigularis flavigularis/marginatus
83661bfffffffff,2.0,0.0,2.0
83661dfffffffff,16.0,0.0,16.0
8366a5fffffffff,2.0,0.0,0.0
8366b5fffffffff,5.0,1.0,0.0
8366c2fffffffff,2.0,0.0,2.0
8366d0fffffffff,11.0,0.0,0.0
8366d3fffffffff,5.0,0.0,1.0
8366defffffffff,8.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0
838b61fffffffff,9.0,0.0,9.0
838b69fffffffff,6.0,0.0,0.0
838b6efffffffff,5.0,0.0,0.0
838f4bfffffffff,4.0,0.0,0.0
838f54fffffffff,1.0,0.0,0.0
838f72fffffffff,2.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0
