cell_id,Phapitreron leucotis,Phapitreron leucotis leucotis,Phapitreron leucotis nigrorum,Phapitreron leucotis brevirostris/occipitalis
834a96fffffffff,1.0,0.0,0.0,0.0
836840fffffffff,19.0,0.0,0.0,4.0
836841fffffffff,17.0,0.0,0.0,0.0
836842fffffffff,7.0,0.0,0.0,2.0
836843fffffffff,145.0,0.0,0.0,58.0
836844fffffffff,146.0,0.0,3.0,3.0
836845fffffffff,4.0,0.0,0.0,0.0
836846fffffffff,155.0,0.0,60.0,0.0
83684efffffffff,250.0,0.0,0.0,66.0
836856fffffffff,61.0,0.0,0.0,32.0
836858fffffffff,101.0,0.0,0.0,33.0
83685cfffffffff,329.0,0.0,0.0,160.0
83685dfffffffff,111.0,0.0,0.0,29.0
83685efffffffff,236.0,0.0,0.0,110.0
836862fffffffff,43.0,0.0,15.0,0.0
836863fffffffff,3.0,0.0,1.0,0.0
836865fffffffff,37.0,24.0,0.0,0.0
836866fffffffff,23.0,0.0,8.0,0.0
83686efffffffff,35.0,0.0,0.0,13.0
836871fffffffff,14.0,0.0,2.0,0.0
836873fffffffff,2.0,0.0,2.0,0.0
836875fffffffff,27.0,0.0,13.0,0.0
836941fffffffff,25.0,0.0,0.0,0.0
836943fffffffff,437.0,25.0,0.0,0.0
836945fffffffff,16.0,0.0,0.0,0.0
83694afffffffff,11.0,2.0,0.0,0.0
83694bfffffffff,4.0,0.0,0.0,0.0
83694cfffffffff,23.0,16.0,0.0,0.0
83694efffffffff,1092.0,121.0,0.0,0.0
836958fffffffff,56.0,1.0,0.0,0.0
836959fffffffff,25.0,0.0,14.0,0.0
83695bfffffffff,2.0,0.0,0.0,0.0
83695cfffffffff,8.0,0.0,0.0,0.0
83695dfffffffff,16.0,0.0,0.0,0.0
836968fffffffff,8.0,5.0,0.0,0.0
83696afffffffff,61.0,11.0,0.0,0.0
83696bfffffffff,1.0,0.0,0.0,0.0
83696cfffffffff,22.0,3.0,0.0,0.0
83696dfffffffff,37.0,24.0,0.0,0.0
83696efffffffff,2.0,0.0,0.0,0.0
