cell_id,Turdus pelios,Turdus pelios [pelios Group],Turdus pelios nigrilorum/poensis,Turdus pelios stormsi/graueri
825287fffffffff,6.0,0.0,0.0,0.0
825297fffffffff,9.0,1.0,0.0,0.0
82529ffffffffff,20.0,2.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0,0.0
82540ffffffffff,2.0,0.0,0.0,0.0
825417fffffffff,3.0,0.0,0.0,0.0
82541ffffffffff,41.0,2.0,0.0,0.0
825447fffffffff,38.0,0.0,0.0,0.0
82544ffffffffff,4.0,0.0,0.0,0.0
8254affffffffff,370.0,37.0,0.0,0.0
8254c7fffffffff,11.0,0.0,0.0,0.0
8254cffffffffff,4.0,0.0,0.0,0.0
8254e7fffffffff,60.0,6.0,0.0,0.0
8254effffffffff,24.0,0.0,0.0,0.0
8254f7fffffffff,276.0,23.0,0.0,0.0
825857fffffffff,3.0,0.0,0.0,0.0
825887fffffffff,21.0,4.0,0.0,0.0
82588ffffffffff,4.0,2.0,0.0,0.0
825897fffffffff,62.0,0.0,0.0,0.0
82589ffffffffff,5.0,0.0,0.0,0.0
8258a7fffffffff,10.0,0.0,0.0,0.0
8258b7fffffffff,6.0,0.0,0.0,0.0
8258c7fffffffff,4.0,0.0,0.0,0.0
8258cffffffffff,6.0,0.0,0.0,0.0
8258d7fffffffff,31.0,6.0,0.0,0.0
8258dffffffffff,14.0,0.0,0.0,0.0
8258e7fffffffff,161.0,1.0,0.0,0.0
8258f7fffffffff,6.0,0.0,0.0,0.0
825987fffffffff,7.0,0.0,0.0,0.0
82598ffffffffff,1.0,0.0,0.0,0.0
825997fffffffff,10.0,0.0,0.0,0.0
82599ffffffffff,31.0,4.0,0.0,0.0
826a47fffffffff,9.0,2.0,0.0,0.0
826a4ffffffffff,11.0,0.0,0.0,0.0
826a57fffffffff,1.0,0.0,0.0,0.0
826a5ffffffffff,7.0,0.0,0.0,0.0
826a67fffffffff,2.0,0.0,0.0,0.0
826a6ffffffffff,20.0,0.0,0.0,0.0
826ac7fffffffff,952.0,139.0,0.0,0.0
826acffffffffff,1288.0,145.0,0.0,0.0
826adffffffffff,918.0,49.0,0.0,0.0
826ae7fffffffff,3.0,0.0,0.0,0.0
826aeffffffffff,317.0,37.0,0.0,0.0
826af7fffffffff,1.0,0.0,0.0,0.0
826bb7fffffffff,2.0,0.0,0.0,0.0
82750ffffffffff,60.0,5.0,0.0,0.0
82751ffffffffff,2.0,0.0,0.0,0.0
827527fffffffff,140.0,13.0,0.0,0.0
82752ffffffffff,269.0,35.0,0.0,0.0
827537fffffffff,19.0,0.0,0.0,0.0
827577fffffffff,135.0,3.0,0.0,0.0
827587fffffffff,4.0,0.0,0.0,0.0
8275a7fffffffff,7.0,0.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0,0.0
827a4ffffffffff,750.0,5.0,0.0,0.0
827a5ffffffffff,3.0,0.0,0.0,0.0
827a6ffffffffff,484.0,0.0,0.0,0.0
827ac7fffffffff,3.0,2.0,0.0,0.0
827acffffffffff,398.0,67.0,0.0,0.0
827adffffffffff,16.0,2.0,0.0,0.0
827aeffffffffff,38.0,4.0,0.0,0.0
82821ffffffffff,4.0,0.0,0.0,0.0
828287fffffffff,2.0,2.0,0.0,0.0
82828ffffffffff,71.0,10.0,0.0,0.0
828297fffffffff,3.0,0.0,0.0,0.0
8282a7fffffffff,9.0,2.0,0.0,0.0
8282affffffffff,38.0,9.0,0.0,0.0
8282d7fffffffff,186.0,11.0,61.0,0.0
8282f7fffffffff,45.0,4.0,0.0,0.0
828317fffffffff,8.0,0.0,0.0,0.0
82831ffffffffff,4.0,0.0,0.0,0.0
828387fffffffff,2.0,0.0,0.0,0.0
82838ffffffffff,17.0,0.0,0.0,0.0
8283a7fffffffff,3.0,0.0,0.0,0.0
8283affffffffff,4.0,0.0,0.0,0.0
829607fffffffff,4.0,0.0,0.0,0.0
82960ffffffffff,34.0,0.0,0.0,16.0
829617fffffffff,1.0,0.0,0.0,0.0
829657fffffffff,7.0,0.0,0.0,5.0
829677fffffffff,1.0,0.0,0.0,1.0
82969ffffffffff,24.0,0.0,0.0,0.0
