cell_id,Neophilydor fuscipenne,Neophilydor fuscipenne fuscipenne,Neophilydor fuscipenne erythronotum
826607fffffffff,2.0,0.0,0.0
82660ffffffffff,56.0,0.0,0.0
826617fffffffff,200.0,0.0,23.0
82661ffffffffff,180.0,0.0,0.0
8266a7fffffffff,9.0,5.0,0.0
8266e7fffffffff,1.0,0.0,0.0
828f0ffffffffff,100.0,0.0,19.0
