cell_id,Stelgidopteryx serripennis,Stelgidopteryx serripennis [serripennis Group],Stelgidopteryx serripennis ridgwayi/stuarti
820c17fffffffff,2.0,0.0,0.0
820e87fffffffff,2.0,0.0,0.0
82120ffffffffff,2.0,0.0,0.0
821257fffffffff,5.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0
82128ffffffffff,6.0,0.0,0.0
8212affffffffff,1.0,1.0,0.0
8212b7fffffffff,58.0,0.0,0.0
8212c7fffffffff,6.0,1.0,0.0
8212cffffffffff,35.0,0.0,0.0
8212d7fffffffff,9.0,0.0,0.0
8212dffffffffff,16.0,0.0,0.0
821387fffffffff,25.0,0.0,0.0
82138ffffffffff,1.0,0.0,0.0
821397fffffffff,4.0,0.0,0.0
82260ffffffffff,10.0,0.0,0.0
822617fffffffff,4.0,0.0,0.0
82261ffffffffff,1.0,0.0,0.0
822627fffffffff,6.0,0.0,0.0
82262ffffffffff,2.0,0.0,0.0
822637fffffffff,10.0,0.0,0.0
822647fffffffff,60.0,5.0,0.0
82264ffffffffff,266.0,34.0,0.0
822657fffffffff,62.0,0.0,0.0
82265ffffffffff,121.0,9.0,0.0
822667fffffffff,99.0,4.0,0.0
82266ffffffffff,50.0,0.0,0.0
822677fffffffff,26.0,1.0,0.0
822687fffffffff,71.0,0.0,0.0
82268ffffffffff,177.0,6.0,0.0
822697fffffffff,126.0,0.0,0.0
82269ffffffffff,117.0,0.0,0.0
8226affffffffff,57.0,0.0,0.0
8226b7fffffffff,6.0,0.0,0.0
8226cffffffffff,54.0,0.0,0.0
8226d7fffffffff,13.0,0.0,0.0
8226dffffffffff,9.0,0.0,0.0
8226e7fffffffff,21.0,0.0,0.0
8226effffffffff,7.0,0.0,0.0
8226f7fffffffff,9.0,0.0,0.0
822707fffffffff,1.0,0.0,0.0
82271ffffffffff,5.0,2.0,0.0
822747fffffffff,18.0,0.0,0.0
82274ffffffffff,308.0,4.0,0.0
822757fffffffff,11.0,0.0,0.0
82275ffffffffff,92.0,2.0,0.0
822767fffffffff,29.0,2.0,0.0
82276ffffffffff,63.0,44.0,0.0
822777fffffffff,2.0,0.0,0.0
822787fffffffff,8.0,0.0,0.0
82278ffffffffff,3.0,0.0,0.0
822797fffffffff,24.0,0.0,0.0
82279ffffffffff,5.0,0.0,0.0
8227a7fffffffff,12.0,0.0,0.0
8227affffffffff,6.0,0.0,0.0
8227b7fffffffff,2.0,0.0,0.0
822807fffffffff,39.0,0.0,0.0
822817fffffffff,68.0,6.0,0.0
82281ffffffffff,36.0,0.0,0.0
822837fffffffff,1330.0,4.0,0.0
822887fffffffff,70.0,2.0,0.0
82288ffffffffff,31.0,4.0,0.0
822897fffffffff,34.0,0.0,0.0
82289ffffffffff,10.0,0.0,0.0
8228affffffffff,23.0,0.0,0.0
8228b7fffffffff,22.0,0.0,0.0
8228c7fffffffff,14.0,0.0,0.0
8228d7fffffffff,117.0,0.0,0.0
8228dffffffffff,54.0,0.0,0.0
8228f7fffffffff,40.0,0.0,0.0
822917fffffffff,36.0,0.0,0.0
82291ffffffffff,2.0,0.0,0.0
822987fffffffff,53.0,4.0,0.0
82298ffffffffff,9.0,0.0,0.0
822997fffffffff,59.0,4.0,0.0
82299ffffffffff,3.0,0.0,0.0
8229a7fffffffff,513.0,6.0,0.0
8229affffffffff,48.0,0.0,0.0
8229b7fffffffff,51.0,0.0,0.0
822a07fffffffff,4.0,0.0,0.0
822a17fffffffff,2924.0,40.0,0.0
822a37fffffffff,225.0,3.0,0.0
822a4ffffffffff,5.0,1.0,0.0
822a87fffffffff,56.0,9.0,0.0
822a8ffffffffff,110.0,0.0,0.0
822a97fffffffff,56.0,0.0,0.0
822a9ffffffffff,32.0,1.0,0.0
822aa7fffffffff,288.0,1.0,0.0
822aaffffffffff,957.0,25.0,0.0
822ab7fffffffff,761.0,399.0,0.0
822ad7fffffffff,35.0,1.0,0.0
822af7fffffffff,46.0,0.0,0.0
822b07fffffffff,10.0,0.0,0.0
822b0ffffffffff,6.0,0.0,0.0
822b17fffffffff,41.0,0.0,0.0
822b1ffffffffff,53.0,0.0,0.0
822b27fffffffff,2.0,0.0,0.0
822b2ffffffffff,5.0,0.0,0.0
822b37fffffffff,13.0,2.0,0.0
822b87fffffffff,13.0,4.0,0.0
822b8ffffffffff,207.0,71.0,0.0
822b97fffffffff,28.0,0.0,0.0
822b9ffffffffff,670.0,365.0,0.0
822ba7fffffffff,3.0,0.0,0.0
822baffffffffff,169.0,0.0,0.0
824417fffffffff,218.0,0.0,0.0
82441ffffffffff,136.0,8.0,0.0
824437fffffffff,10.0,0.0,0.0
824447fffffffff,275.0,0.0,0.0
82444ffffffffff,30.0,0.0,0.0
824457fffffffff,84.0,0.0,0.0
82445ffffffffff,18.0,0.0,0.0
