cell_id,Apteryx australis,Apteryx australis australis,Apteryx australis lawryi
83da81fffffffff,1.0,0.0,0.0
83da83fffffffff,1.0,0.0,0.0
83da8cfffffffff,17.0,4.0,0.0
83da8efffffffff,32.0,6.0,0.0
83daaafffffffff,450.0,0.0,183.0
83daabfffffffff,1.0,0.0,1.0
