cell_id,Myiothlypis bivittata,Myiothlypis bivittata roraimae,Myiothlypis bivittata bivittata/argentinae
835f68fffffffff,2.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
835f71fffffffff,54.0,25.0,0.0
838b01fffffffff,1.0,0.0,0.0
838b20fffffffff,144.0,0.0,15.0
838b21fffffffff,26.0,0.0,0.0
838b22fffffffff,339.0,0.0,54.0
838b25fffffffff,1.0,0.0,0.0
838b26fffffffff,10.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0
838b2cfffffffff,36.0,0.0,2.0
838b2dfffffffff,3.0,0.0,0.0
838b2efffffffff,3.0,0.0,0.0
838b31fffffffff,2.0,0.0,0.0
838b60fffffffff,1.0,0.0,0.0
838b61fffffffff,914.0,0.0,16.0
838b63fffffffff,9.0,0.0,0.0
838b74fffffffff,76.0,0.0,4.0
838b75fffffffff,45.0,0.0,0.0
838e64fffffffff,7.0,0.0,0.0
83a841fffffffff,3.0,0.0,0.0
83b274fffffffff,7.0,0.0,0.0
83b324fffffffff,18.0,0.0,0.0
83b325fffffffff,55.0,0.0,6.0
83b340fffffffff,41.0,0.0,0.0
83b342fffffffff,1180.0,0.0,0.0
83b343fffffffff,9.0,0.0,0.0
83b344fffffffff,79.0,0.0,0.0
83b346fffffffff,93.0,0.0,0.0
83b351fffffffff,358.0,0.0,0.0
83b355fffffffff,1.0,0.0,0.0
83b358fffffffff,113.0,0.0,0.0
83b35afffffffff,6.0,0.0,0.0
83b35bfffffffff,57.0,0.0,0.0
83b35cfffffffff,276.0,0.0,0.0
83b35efffffffff,408.0,0.0,0.0
83b362fffffffff,7.0,0.0,0.0
83b366fffffffff,67.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0
