cell_id,Anarhynchus nivosus,Anarhynchus nivosus nivosus,Anarhynchus nivosus occidentalis
832689fffffffff,407.0,0.0,0.0
83268bfffffffff,1.0,0.0,0.0
83268dfffffffff,249.0,0.0,0.0
832690fffffffff,18.0,0.0,0.0
832692fffffffff,140.0,0.0,0.0
832694fffffffff,3.0,0.0,0.0
832696fffffffff,1009.0,0.0,0.0
8326c1fffffffff,24.0,0.0,0.0
8326c3fffffffff,103.0,0.0,0.0
8326c4fffffffff,129.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326c6fffffffff,13.0,0.0,0.0
8326c8fffffffff,17.0,0.0,0.0
8326ccfffffffff,1.0,0.0,0.0
8326d1fffffffff,2.0,0.0,0.0
8326d2fffffffff,7.0,0.0,0.0
8326d4fffffffff,3.0,0.0,0.0
8326d8fffffffff,2.0,0.0,0.0
8326d9fffffffff,30.0,0.0,0.0
8326dafffffffff,62.0,0.0,0.0
8326dbfffffffff,35.0,0.0,0.0
8326dcfffffffff,2.0,0.0,0.0
8326ddfffffffff,1.0,0.0,0.0
8326e2fffffffff,2050.0,0.0,0.0
8326e3fffffffff,2.0,0.0,0.0
8326e6fffffffff,10.0,0.0,0.0
8326f2fffffffff,409.0,0.0,0.0
832800fffffffff,87.0,0.0,0.0
832802fffffffff,303.0,0.0,0.0
832803fffffffff,72.0,0.0,0.0
832806fffffffff,205.0,0.0,0.0
832812fffffffff,13.0,0.0,0.0
832813fffffffff,8.0,0.0,0.0
832816fffffffff,8.0,0.0,0.0
832818fffffffff,4.0,0.0,0.0
832819fffffffff,94.0,0.0,0.0
83281bfffffffff,455.0,0.0,0.0
83281cfffffffff,68.0,0.0,0.0
83281dfffffffff,6.0,0.0,0.0
832830fffffffff,1771.0,43.0,0.0
832831fffffffff,554.0,12.0,0.0
832834fffffffff,3421.0,169.0,0.0
832835fffffffff,92.0,11.0,0.0
8328a1fffffffff,5.0,0.0,0.0
8328a8fffffffff,2.0,0.0,0.0
8328acfffffffff,14.0,0.0,0.0
8328adfffffffff,303.0,0.0,0.0
8328aefffffffff,10.0,0.0,0.0
8328b4fffffffff,22.0,0.0,0.0
8328b6fffffffff,195.0,0.0,0.0
8328c6fffffffff,513.0,0.0,0.0
8328f1fffffffff,217.0,0.0,0.0
8328f5fffffffff,325.0,0.0,0.0
832912fffffffff,1929.0,0.0,0.0
832913fffffffff,237.0,0.0,0.0
832916fffffffff,41.0,0.0,0.0
83291afffffffff,326.0,22.0,0.0
832980fffffffff,2.0,0.0,0.0
832981fffffffff,1.0,0.0,0.0
832982fffffffff,3.0,0.0,0.0
832984fffffffff,9.0,0.0,0.0
832985fffffffff,47.0,0.0,0.0
832986fffffffff,52.0,0.0,0.0
832988fffffffff,2.0,0.0,0.0
832989fffffffff,77.0,0.0,0.0
83298bfffffffff,26.0,0.0,0.0
83298cfffffffff,47.0,0.0,0.0
83298dfffffffff,2.0,0.0,0.0
832991fffffffff,3.0,0.0,0.0
832995fffffffff,13.0,0.0,0.0
83299afffffffff,27.0,0.0,0.0
83299bfffffffff,45.0,0.0,0.0
8329a0fffffffff,40.0,0.0,0.0
8329a1fffffffff,1686.0,0.0,0.0
8329a3fffffffff,152.0,0.0,0.0
8329a4fffffffff,2172.0,0.0,0.0
8329a5fffffffff,1964.0,0.0,0.0
8329a6fffffffff,1719.0,0.0,0.0
8329a8fffffffff,183.0,0.0,0.0
8329aafffffffff,112.0,0.0,0.0
8329abfffffffff,22.0,0.0,0.0
8329acfffffffff,3.0,0.0,0.0
8329adfffffffff,1400.0,0.0,0.0
8329aefffffffff,1.0,0.0,0.0
8329b0fffffffff,2.0,0.0,0.0
8329b4fffffffff,10.0,0.0,0.0
8329b5fffffffff,5.0,0.0,0.0
834412fffffffff,2.0,0.0,0.0
834413fffffffff,1657.0,39.0,0.0
83441afffffffff,145.0,1.0,0.0
83441efffffffff,2278.0,40.0,0.0
834424fffffffff,169.0,0.0,0.0
834444fffffffff,7.0,0.0,0.0
834445fffffffff,34.0,0.0,0.0
