cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
82529ffffffffff,14.0,0.0,0.0,0.0
8252d7fffffffff,3.0,0.0,0.0,3.0
825407fffffffff,44.0,0.0,0.0,42.0
82540ffffffffff,7.0,0.0,0.0,7.0
825417fffffffff,54.0,0.0,0.0,53.0
82541ffffffffff,283.0,0.0,0.0,267.0
825447fffffffff,21.0,0.0,0.0,21.0
82544ffffffffff,4.0,0.0,0.0,4.0
8254affffffffff,283.0,0.0,0.0,279.0
8254c7fffffffff,1.0,0.0,0.0,1.0
8254e7fffffffff,179.0,0.0,0.0,175.0
8254effffffffff,15.0,0.0,0.0,13.0
8254f7fffffffff,219.0,0.0,0.0,209.0
825857fffffffff,6.0,0.0,0.0,6.0
825897fffffffff,30.0,0.0,0.0,28.0
8258a7fffffffff,16.0,0.0,0.0,16.0
8258b7fffffffff,12.0,0.0,0.0,8.0
8258cffffffffff,7.0,0.0,0.0,7.0
8258e7fffffffff,6.0,0.0,0.0,6.0
8258f7fffffffff,7.0,0.0,0.0,7.0
825987fffffffff,5.0,0.0,0.0,5.0
825997fffffffff,6.0,0.0,0.0,6.0
82599ffffffffff,70.0,0.0,0.0,70.0
826a4ffffffffff,58.0,0.0,0.0,0.0
826a5ffffffffff,212.0,0.0,0.0,0.0
826a6ffffffffff,4.0,0.0,0.0,0.0
826ac7fffffffff,562.0,0.0,0.0,1.0
826acffffffffff,760.0,0.0,0.0,1.0
826adffffffffff,326.0,0.0,0.0,0.0
826ae7fffffffff,8.0,0.0,0.0,0.0
826aeffffffffff,255.0,0.0,0.0,3.0
826b17fffffffff,12.0,0.0,0.0,12.0
826bb7fffffffff,2.0,0.0,0.0,2.0
82750ffffffffff,32.0,0.0,0.0,32.0
82751ffffffffff,4.0,0.0,0.0,4.0
827527fffffffff,280.0,0.0,0.0,278.0
82752ffffffffff,173.0,0.0,0.0,173.0
827537fffffffff,22.0,0.0,0.0,22.0
827577fffffffff,3.0,0.0,0.0,3.0
8275a7fffffffff,1.0,0.0,0.0,1.0
8275affffffffff,1.0,0.0,0.0,1.0
827a47fffffffff,1511.0,0.0,0.0,0.0
827a4ffffffffff,732.0,0.0,0.0,0.0
827a57fffffffff,9.0,0.0,0.0,1.0
827a5ffffffffff,37.0,0.0,0.0,0.0
827a67fffffffff,1298.0,0.0,0.0,0.0
827a6ffffffffff,2864.0,0.0,0.0,0.0
827a77fffffffff,20.0,0.0,0.0,0.0
827ac7fffffffff,3.0,0.0,0.0,0.0
827acffffffffff,132.0,0.0,1.0,2.0
827adffffffffff,154.0,0.0,1.0,4.0
827aeffffffffff,173.0,0.0,0.0,2.0
827b4ffffffffff,416.0,0.0,20.0,0.0
827b5ffffffffff,599.0,0.0,0.0,0.0
827b6ffffffffff,59.0,0.0,0.0,0.0
828307fffffffff,8.0,0.0,0.0,0.0
828317fffffffff,18.0,2.0,0.0,0.0
82831ffffffffff,17.0,1.0,0.0,0.0
828327fffffffff,13.0,0.0,0.0,0.0
828337fffffffff,24.0,5.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0,0.0
8283a7fffffffff,8.0,0.0,0.0,0.0
8283affffffffff,6.0,1.0,0.0,0.0
8283b7fffffffff,1.0,0.0,0.0,0.0
829607fffffffff,82.0,0.0,0.0,0.0
82960ffffffffff,82.0,0.0,0.0,0.0
829617fffffffff,58.0,0.0,0.0,0.0
829627fffffffff,443.0,0.0,2.0,0.0
82962ffffffffff,213.0,0.0,16.0,0.0
829637fffffffff,232.0,0.0,0.0,0.0
829647fffffffff,4.0,0.0,0.0,0.0
82964ffffffffff,4.0,0.0,0.0,0.0
829657fffffffff,6.0,0.0,0.0,0.0
829667fffffffff,8.0,0.0,0.0,0.0
82966ffffffffff,1.0,0.0,0.0,0.0
829677fffffffff,23.0,0.0,0.0,0.0
829687fffffffff,14.0,0.0,0.0,0.0
82968ffffffffff,6.0,0.0,0.0,0.0
829697fffffffff,1559.0,0.0,6.0,0.0
82969ffffffffff,58.0,0.0,0.0,0.0
8296a7fffffffff,87.0,0.0,0.0,0.0
8296affffffffff,19.0,0.0,0.0,0.0
8296b7fffffffff,404.0,0.0,0.0,0.0
8296e7fffffffff,2.0,0.0,0.0,0.0
829707fffffffff,146.0,0.0,13.0,0.0
82970ffffffffff,72.0,0.0,0.0,0.0
829717fffffffff,479.0,0.0,0.0,0.0
82971ffffffffff,165.0,0.0,23.0,0.0
829727fffffffff,60.0,0.0,0.0,0.0
82972ffffffffff,1287.0,0.0,0.0,0.0
829737fffffffff,28.0,0.0,0.0,0.0
829747fffffffff,1027.0,0.0,0.0,0.0
82974ffffffffff,1141.0,37.0,0.0,0.0
829757fffffffff,967.0,0.0,10.0,0.0
82975ffffffffff,1153.0,10.0,0.0,0.0
829767fffffffff,2.0,0.0,0.0,0.0
82976ffffffffff,20.0,0.0,0.0,0.0
829777fffffffff,74.0,0.0,0.0,0.0
829787fffffffff,10.0,0.0,0.0,0.0
82978ffffffffff,44.0,0.0,0.0,0.0
829797fffffffff,2.0,0.0,0.0,0.0
82979ffffffffff,20.0,0.0,0.0,0.0
8297affffffffff,105.0,0.0,0.0,0.0
82ac17fffffffff,7.0,0.0,0.0,0.0
82ac87fffffffff,1831.0,189.0,0.0,0.0
82ac8ffffffffff,153.0,4.0,0.0,0.0
82ac97fffffffff,235.0,10.0,0.0,0.0
82ac9ffffffffff,25.0,0.0,0.0,0.0
82aca7fffffffff,863.0,66.0,0.0,0.0
82acaffffffffff,73.0,1.0,0.0,0.0
82acb7fffffffff,165.0,12.0,0.0,0.0
82ad37fffffffff,324.0,0.0,21.0,0.0
82ad87fffffffff,166.0,17.0,0.0,0.0
82ad8ffffffffff,28.0,6.0,0.0,0.0
82ad97fffffffff,44.0,0.0,0.0,0.0
82ad9ffffffffff,26.0,0.0,0.0,0.0
82ada7fffffffff,8.0,0.0,0.0,0.0
82adaffffffffff,3.0,0.0,0.0,0.0
82adb7fffffffff,54.0,8.0,0.0,0.0
82bc0ffffffffff,82.0,0.0,0.0,0.0
82bc1ffffffffff,117.0,0.0,7.0,0.0
82bc47fffffffff,463.0,0.0,18.0,0.0
82bc4ffffffffff,4.0,0.0,0.0,0.0
82bc57fffffffff,56.0,0.0,0.0,0.0
82bc5ffffffffff,5.0,0.0,0.0,0.0
82bc6ffffffffff,639.0,0.0,15.0,0.0
82bc77fffffffff,256.0,0.0,4.0,0.0
82bc8ffffffffff,248.0,0.0,17.0,0.0
82bc9ffffffffff,23.0,0.0,0.0,0.0
82bcc7fffffffff,206.0,0.0,0.0,0.0
82bccffffffffff,69.0,1.0,0.0,0.0
82bcd7fffffffff,4390.0,7.0,112.0,0.0
82bcdffffffffff,1230.0,62.0,7.0,0.0
82bce7fffffffff,1577.0,0.0,70.0,0.0
82bceffffffffff,144.0,6.0,0.0,0.0
82bcf7fffffffff,2592.0,0.0,109.0,0.0
