cell_id,Campethera maculosa,Campethera maculosa maculosa,Campethera maculosa permista,Campethera maculosa [cailliautii Group]
8452851ffffffff,3.0,0.0,0.0,0.0
8454e05ffffffff,2.0,2.0,0.0,0.0
8454e21ffffffff,5.0,5.0,0.0,0.0
8454e25ffffffff,5.0,5.0,0.0,0.0
8454e27ffffffff,1.0,1.0,0.0,0.0
8454f1bffffffff,7.0,7.0,0.0,0.0
8454f6bffffffff,3.0,3.0,0.0,0.0
845894dffffffff,2.0,0.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0,0.0
8458d37ffffffff,4.0,0.0,0.0,0.0
8458db5ffffffff,6.0,0.0,0.0,0.0
8458debffffffff,2.0,0.0,0.0,0.0
8458f47ffffffff,1.0,0.0,0.0,0.0
846ac03ffffffff,1.0,0.0,0.0,0.0
846ac31ffffffff,2.0,0.0,0.0,0.0
846aca5ffffffff,2.0,0.0,0.0,0.0
846ace5ffffffff,47.0,0.0,0.0,0.0
846ad8bffffffff,4.0,0.0,0.0,0.0
846ad93ffffffff,5.0,0.0,0.0,0.0
846ad9dffffffff,2.0,0.0,0.0,0.0
846adc1ffffffff,12.0,0.0,0.0,0.0
846adc5ffffffff,2.0,0.0,0.0,0.0
846adc9ffffffff,4.0,0.0,0.0,0.0
846add7ffffffff,3.0,0.0,0.0,0.0
8475085ffffffff,2.0,2.0,0.0,0.0
8475087ffffffff,9.0,8.0,0.0,0.0
84750d1ffffffff,60.0,58.0,0.0,0.0
84750d3ffffffff,1.0,0.0,0.0,0.0
84750ddffffffff,2.0,2.0,0.0,0.0
8475201ffffffff,1.0,1.0,0.0,0.0
8475207ffffffff,1.0,0.0,0.0,0.0
8475295ffffffff,58.0,58.0,0.0,0.0
847529bffffffff,1.0,1.0,0.0,0.0
84752a5ffffffff,3.0,3.0,0.0,0.0
84752abffffffff,13.0,13.0,0.0,0.0
84752adffffffff,1.0,1.0,0.0,0.0
847584dffffffff,1.0,1.0,0.0,0.0
8475a07ffffffff,3.0,3.0,0.0,0.0
8475a81ffffffff,1.0,1.0,0.0,0.0
8475a83ffffffff,3.0,3.0,0.0,0.0
8475ab9ffffffff,1.0,1.0,0.0,0.0
8475b01ffffffff,1.0,1.0,0.0,0.0
8475b07ffffffff,1.0,1.0,0.0,0.0
8475b31ffffffff,1.0,1.0,0.0,0.0
847a681ffffffff,6.0,0.0,0.0,0.0
847a683ffffffff,26.0,0.0,0.0,0.0
847a68bffffffff,5.0,0.0,0.0,0.0
847a6c1ffffffff,1.0,0.0,0.0,0.0
847a6d1ffffffff,4.0,0.0,0.0,0.0
847a6d3ffffffff,2.0,0.0,0.0,0.0
847a6d7ffffffff,1.0,0.0,0.0,0.0
847a6d9ffffffff,2.0,0.0,0.0,0.0
847a75dffffffff,1.0,0.0,0.0,0.0
847b481ffffffff,1.0,0.0,0.0,0.0
847b487ffffffff,32.0,0.0,0.0,0.0
847b48dffffffff,1.0,0.0,0.0,0.0
847b4a1ffffffff,2.0,0.0,0.0,0.0
847b4b9ffffffff,7.0,0.0,0.0,0.0
847b4dbffffffff,2.0,0.0,0.0,0.0
847b591ffffffff,3.0,0.0,0.0,0.0
847b597ffffffff,38.0,0.0,0.0,0.0
847b6bbffffffff,9.0,0.0,0.0,0.0
8482125ffffffff,13.0,0.0,0.0,0.0
848218dffffffff,1.0,0.0,0.0,0.0
8482805ffffffff,2.0,0.0,0.0,0.0
848284dffffffff,3.0,0.0,0.0,0.0
8482887ffffffff,1.0,0.0,0.0,0.0
84828b5ffffffff,2.0,0.0,0.0,0.0
84828d1ffffffff,10.0,0.0,0.0,0.0
8482a09ffffffff,8.0,0.0,0.0,0.0
8482a0bffffffff,4.0,0.0,1.0,0.0
8482a37ffffffff,3.0,0.0,0.0,0.0
8482a81ffffffff,7.0,0.0,1.0,0.0
8482aadffffffff,3.0,0.0,2.0,0.0
8482d27ffffffff,5.0,0.0,0.0,0.0
8482d3dffffffff,1.0,0.0,0.0,0.0
8482f09ffffffff,4.0,0.0,0.0,0.0
8482f0dffffffff,1.0,0.0,0.0,0.0
8483125ffffffff,1.0,0.0,0.0,0.0
848313dffffffff,2.0,0.0,0.0,0.0
8483151ffffffff,6.0,0.0,0.0,0.0
84838adffffffff,3.0,0.0,0.0,0.0
84838e3ffffffff,1.0,0.0,0.0,0.0
