cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
843c899ffffffff,1.0,0.0,0.0,0.0
8444143ffffffff,17.0,0.0,0.0,0.0
844415dffffffff,368.0,0.0,0.0,0.0
84446c5ffffffff,2.0,0.0,0.0,0.0
84446cdffffffff,2.0,0.0,0.0,0.0
8445011ffffffff,2.0,0.0,0.0,0.0
844519bffffffff,5.0,0.0,0.0,0.0
844643dffffffff,2.0,0.0,0.0,0.0
84464e1ffffffff,8.0,0.0,0.0,0.0
84464e5ffffffff,37.0,0.0,21.0,0.0
84464e7ffffffff,6.0,0.0,1.0,0.0
8448955ffffffff,7.0,1.0,0.0,0.0
844a48dffffffff,1.0,0.0,0.0,0.0
844b841ffffffff,8.0,0.0,0.0,0.0
844b86dffffffff,3.0,0.0,0.0,0.0
844ba15ffffffff,4.0,0.0,0.0,0.0
844ba3bffffffff,1.0,0.0,0.0,0.0
844bb11ffffffff,66.0,0.0,0.0,0.0
844bb5dffffffff,2.0,0.0,0.0,0.0
845d101ffffffff,22.0,0.0,9.0,0.0
845d103ffffffff,4.0,0.0,2.0,0.0
845d105ffffffff,14.0,0.0,14.0,0.0
845d107ffffffff,9.0,0.0,0.0,0.0
845d10dffffffff,2.0,0.0,0.0,0.0
845d115ffffffff,9.0,0.0,7.0,0.0
845d129ffffffff,2.0,0.0,2.0,0.0
845d12bffffffff,27.0,0.0,27.0,0.0
845d131ffffffff,31.0,0.0,4.0,0.0
845d13bffffffff,20.0,0.0,10.0,0.0
845d145ffffffff,1.0,0.0,0.0,0.0
845d147ffffffff,22.0,0.0,6.0,0.0
845e413ffffffff,1.0,0.0,0.0,0.0
845e753ffffffff,2.0,0.0,0.0,0.0
846620bffffffff,1.0,0.0,0.0,0.0
8466849ffffffff,3.0,0.0,0.0,0.0
84668e7ffffffff,1.0,0.0,0.0,0.0
8466a37ffffffff,5.0,0.0,0.0,0.0
8466a63ffffffff,5.0,0.0,0.0,0.0
8466aedffffffff,2.0,0.0,0.0,0.0
8466b6dffffffff,1.0,0.0,0.0,0.0
846743dffffffff,1.0,0.0,0.0,0.0
8467447ffffffff,2.0,0.0,0.0,0.0
8467463ffffffff,1.0,0.0,0.0,0.0
8467737ffffffff,11.0,0.0,0.0,0.0
84679b3ffffffff,4.0,0.0,0.0,0.0
8467b03ffffffff,1.0,0.0,0.0,0.0
84680d9ffffffff,9.0,0.0,0.0,0.0
84682b7ffffffff,5.0,0.0,0.0,0.0
8468589ffffffff,2.0,0.0,0.0,0.0
8468767ffffffff,2.0,0.0,0.0,0.0
846c619ffffffff,20.0,0.0,0.0,0.0
846c657ffffffff,2.0,0.0,0.0,0.0
8472aedffffffff,1.0,0.0,0.0,0.0
8472c91ffffffff,2.0,0.0,0.0,0.0
84738e9ffffffff,6.0,0.0,0.0,0.0
8473a83ffffffff,5.0,0.0,0.0,0.0
847683bffffffff,2.0,0.0,0.0,0.0
84768a9ffffffff,2.0,0.0,0.0,0.0
847699dffffffff,3.0,0.0,0.0,0.0
8477959ffffffff,2.0,0.0,0.0,0.0
84779a9ffffffff,1.0,0.0,0.0,0.0
8478983ffffffff,2.0,0.0,0.0,0.0
847d80bffffffff,1.0,0.0,0.0,0.0
8482c0dffffffff,1.0,0.0,0.0,0.0
8482c47ffffffff,1.0,0.0,0.0,0.0
8482e31ffffffff,2.0,0.0,0.0,0.0
848f2a1ffffffff,3.0,0.0,0.0,0.0
848f2a7ffffffff,1.0,0.0,0.0,0.0
849413bffffffff,4.0,0.0,0.0,0.0
849450bffffffff,5.0,0.0,0.0,0.0
8494ac7ffffffff,3.0,0.0,0.0,0.0
8499a41ffffffff,6.0,0.0,0.0,0.0
849a141ffffffff,1.0,0.0,0.0,0.0
849a151ffffffff,2.0,0.0,0.0,0.0
849a15dffffffff,2.0,0.0,0.0,0.0
849a169ffffffff,2.0,0.0,0.0,0.0
849b19bffffffff,3.0,0.0,0.0,0.0
849b897ffffffff,7.0,0.0,0.0,0.0
849c58dffffffff,2.0,0.0,0.0,0.0
849c901ffffffff,5.0,0.0,0.0,0.0
849cb59ffffffff,3.0,0.0,0.0,0.0
849d0b5ffffffff,2.0,0.0,0.0,0.0
849d201ffffffff,1.0,0.0,0.0,0.0
849d209ffffffff,4.0,0.0,0.0,0.0
849d241ffffffff,4.0,0.0,0.0,0.0
849d247ffffffff,2.0,0.0,0.0,0.0
849edebffffffff,2.0,0.0,0.0,0.0
84a0491ffffffff,1.0,0.0,0.0,0.0
84a0dc3ffffffff,1.0,0.0,0.0,1.0
84a0dc9ffffffff,2.0,0.0,0.0,0.0
84a1161ffffffff,1.0,0.0,0.0,0.0
84b4ce9ffffffff,2.0,0.0,0.0,0.0
84bb53dffffffff,3.0,0.0,0.0,0.0
84bb58dffffffff,2.0,0.0,0.0,0.0
84bb59dffffffff,5.0,0.0,0.0,0.0
84be08dffffffff,2.0,0.0,0.0,0.0
84be0c3ffffffff,1.0,0.0,0.0,0.0
84be0e3ffffffff,2.0,0.0,0.0,0.0
84be617ffffffff,2.0,0.0,0.0,0.0
84be631ffffffff,2.0,0.0,0.0,0.0
84be889ffffffff,2.0,0.0,0.0,0.0
84be8d1ffffffff,1.0,0.0,0.0,0.0
84beab7ffffffff,1.0,0.0,0.0,0.0
84bf8b9ffffffff,1.0,0.0,0.0,0.0
