cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
83679afffffffff,2294.0,0.0,0.0,0.0,0.0,0.0,0.0
83679bfffffffff,466.0,0.0,0.0,0.0,0.0,6.0,0.0
836d65fffffffff,206.0,0.0,0.0,0.0,0.0,17.0,0.0
836d68fffffffff,867.0,0.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,6924.0,0.0,0.0,0.0,0.0,0.0,0.0
836d6dfffffffff,313.0,0.0,0.0,0.0,0.0,19.0,0.0
838f0dfffffffff,564.0,0.0,0.0,0.0,231.0,0.0,2.0
838f28fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,79.0,0.0,0.0,4.0,0.0,0.0,4.0
838f2afffffffff,71.0,0.0,0.0,12.0,0.0,0.0,5.0
838f2bfffffffff,28.0,0.0,0.0,0.0,0.0,0.0,4.0
838f2cfffffffff,144.0,0.0,0.0,1.0,0.0,0.0,4.0
838f76fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
