cell_id,Hypsipetes siquijorensis,Hypsipetes siquijorensis cinereiceps,Hypsipetes siquijorensis monticola,Hypsipetes siquijorensis siquijorensis
836844fffffffff,46.0,0.0,0.0,0.0
836846fffffffff,6.0,0.0,0.0,3.0
836959fffffffff,3.0,3.0,0.0,0.0
