cell_id,Anthus cinnamomeus,Anthus cinnamomeus camaroonensis,Anthus cinnamomeus eximius,Anthus cinnamomeus [cinnamomeus Group],Anthus cinnamomeus latistriatus,Anthus cinnamomeus grotei
835202fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
835206fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
835215fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
835280fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
835291fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
835298fffffffff,3.0,0.0,0.0,1.0,0.0,0.0
835299fffffffff,9.0,0.0,0.0,5.0,0.0,0.0
83529bfffffffff,38.0,0.0,0.0,2.0,0.0,0.0
83529efffffffff,2.0,0.0,0.0,2.0,0.0,0.0
8352d4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836a5afffffffff,19.0,0.0,0.0,0.0,0.0,0.0
836ac0fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
836ac1fffffffff,59.0,0.0,0.0,12.0,0.0,0.0
836ac2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836ac3fffffffff,381.0,0.0,0.0,57.0,0.0,0.0
836ac8fffffffff,78.0,0.0,0.0,5.0,0.0,0.0
836ac9fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
836accfffffffff,6.0,0.0,0.0,3.0,0.0,0.0
836acdfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
836acefffffffff,120.0,0.0,0.0,8.0,0.0,0.0
836ad8fffffffff,55.0,0.0,0.0,0.0,0.0,0.0
836adcfffffffff,165.0,0.0,0.0,8.0,0.0,0.0
836addfffffffff,29.0,0.0,0.0,3.0,0.0,0.0
836adefffffffff,27.0,0.0,0.0,0.0,0.0,0.0
836ae8fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
836aeafffffffff,22.0,0.0,0.0,3.0,0.0,0.0
836aebfffffffff,22.0,0.0,0.0,0.0,0.0,0.0
836aeefffffffff,33.0,0.0,0.0,5.0,0.0,0.0
837a40fffffffff,34.0,0.0,0.0,0.0,0.0,0.0
837a41fffffffff,48.0,0.0,0.0,0.0,0.0,0.0
837a43fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a45fffffffff,124.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
837a49fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837a4bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837a4cfffffffff,20.0,0.0,0.0,0.0,0.0,0.0
837a4dfffffffff,21.0,0.0,0.0,0.0,0.0,0.0
837a5afffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a60fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
837a61fffffffff,224.0,0.0,0.0,0.0,0.0,0.0
837a63fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
837a64fffffffff,44.0,0.0,0.0,0.0,0.0,0.0
837a65fffffffff,101.0,0.0,0.0,2.0,0.0,0.0
837a66fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837a68fffffffff,579.0,0.0,0.0,0.0,0.0,0.0
837a69fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
837a6afffffffff,258.0,0.0,0.0,0.0,0.0,0.0
837a6bfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
837a6cfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
837a6dfffffffff,255.0,0.0,0.0,19.0,0.0,0.0
837a6efffffffff,348.0,0.0,0.0,0.0,0.0,0.0
837a74fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837ac8fffffffff,63.0,0.0,0.0,9.0,0.0,0.0
837ac9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837acafffffffff,27.0,0.0,0.0,0.0,0.0,0.0
837acbfffffffff,5.0,0.0,0.0,1.0,0.0,0.0
837accfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837acdfffffffff,11.0,0.0,0.0,5.0,0.0,0.0
837ad9fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
837ae8fffffffff,12.0,0.0,0.0,5.0,0.0,0.0
837ae9fffffffff,7.0,0.0,0.0,2.0,0.0,0.0
837aedfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
837b48fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,22.0,0.0,0.0,0.0,0.0,0.0
837b4bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837b4cfffffffff,1.0,0.0,0.0,1.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837b59fffffffff,238.0,0.0,0.0,0.0,0.0,0.0
837b5bfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
837b68fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837b6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
837b6bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8382d3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
