cell_id,Pyrrhula nipalensis,Pyrrhula nipalensis [nipalensis Group],Pyrrhula nipalensis waterstradti
823c07fffffffff,66.0,0.0,0.0
823c0ffffffffff,74.0,0.0,0.0
823c1ffffffffff,131.0,4.0,0.0
823c47fffffffff,1.0,0.0,0.0
823c57fffffffff,191.0,0.0,0.0
823c5ffffffffff,34.0,0.0,0.0
823cdffffffffff,7.0,1.0,0.0
823ce7fffffffff,17.0,0.0,0.0
823ceffffffffff,6.0,0.0,0.0
823d17fffffffff,23.0,0.0,0.0
823d1ffffffffff,22.0,0.0,0.0
823daffffffffff,92.0,0.0,0.0
824047fffffffff,7.0,0.0,0.0
82404ffffffffff,23.0,0.0,0.0
82405ffffffffff,2.0,0.0,0.0
8240affffffffff,8.0,0.0,0.0
8240c7fffffffff,3.0,0.0,0.0
8240e7fffffffff,6.0,0.0,0.0
8240effffffffff,43.0,0.0,0.0
824187fffffffff,3.0,0.0,0.0
824197fffffffff,4.0,0.0,0.0
8241b7fffffffff,9.0,1.0,0.0
824ba7fffffffff,2271.0,127.0,0.0
824bb7fffffffff,28.0,0.0,0.0
8265b7fffffffff,2.0,0.0,0.0
