cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
82b247fffffffff,2.0,0.0,0.0
82b24ffffffffff,40.0,0.0,0.0
82b25ffffffffff,8.0,0.0,0.0
82b26ffffffffff,10.0,0.0,0.0
82b277fffffffff,1.0,0.0,0.0
82b2cffffffffff,4.0,0.0,4.0
82b307fffffffff,22.0,0.0,0.0
82b30ffffffffff,37.0,0.0,0.0
82b31ffffffffff,6.0,0.0,0.0
82b327fffffffff,4.0,0.0,0.0
82b337fffffffff,2.0,0.0,0.0
82b347fffffffff,3.0,0.0,0.0
82b34ffffffffff,8.0,0.0,0.0
82b357fffffffff,13.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0
82c2c7fffffffff,5.0,0.0,3.0
82c2cffffffffff,7.0,0.0,0.0
82c2e7fffffffff,4.0,0.0,0.0
82c2effffffffff,12.0,0.0,0.0
82c30ffffffffff,4.0,0.0,0.0
82c327fffffffff,12.0,0.0,0.0
82c32ffffffffff,11.0,0.0,1.0
82c34ffffffffff,2.0,0.0,0.0
82c357fffffffff,3.0,0.0,0.0
82ce87fffffffff,4.0,0.0,0.0
82ce9ffffffffff,7.0,2.0,0.0
82cea7fffffffff,1.0,0.0,0.0
82cf17fffffffff,27.0,0.0,3.0
82cf8ffffffffff,8.0,0.0,0.0
82cf97fffffffff,11.0,0.0,0.0
82cf9ffffffffff,10.0,0.0,0.0
82cfa7fffffffff,7.0,0.0,0.0
82cfaffffffffff,4.0,0.0,0.0
