cell_id,Spilopelia chinensis,Spilopelia chinensis suratensis/ceylonensis,Spilopelia chinensis chinensis/tigrina
8224effffffffff,2.0,0.0,0.0
822917fffffffff,12.0,0.0,0.0
8229a7fffffffff,467.0,0.0,0.0
8229affffffffff,4.0,0.0,0.0
823087fffffffff,4.0,0.0,0.0
82309ffffffffff,104.0,0.0,4.0
823117fffffffff,2.0,0.0,0.0
82318ffffffffff,2.0,0.0,0.0
8231affffffffff,1.0,0.0,1.0
8231b7fffffffff,4.0,0.0,0.0
823c07fffffffff,11.0,11.0,0.0
823c17fffffffff,20.0,20.0,0.0
823c1ffffffffff,36.0,2.0,0.0
823c37fffffffff,9.0,8.0,0.0
823c57fffffffff,3.0,3.0,0.0
823c5ffffffffff,1.0,1.0,0.0
823c77fffffffff,2.0,0.0,0.0
823c8ffffffffff,10.0,0.0,0.0
823c97fffffffff,14.0,0.0,0.0
823c9ffffffffff,2.0,0.0,0.0
823ca7fffffffff,1.0,1.0,0.0
823caffffffffff,9.0,2.0,0.0
823cc7fffffffff,7.0,0.0,0.0
823ce7fffffffff,19.0,0.0,5.0
823ceffffffffff,5.0,4.0,1.0
823cf7fffffffff,71.0,0.0,0.0
823d07fffffffff,11.0,0.0,0.0
823d17fffffffff,8.0,0.0,0.0
823d87fffffffff,3.0,0.0,0.0
823d8ffffffffff,1.0,0.0,0.0
823d9ffffffffff,8.0,3.0,0.0
823da7fffffffff,96.0,5.0,0.0
823daffffffffff,17.0,0.0,0.0
824007fffffffff,2.0,0.0,2.0
824047fffffffff,2.0,0.0,2.0
82404ffffffffff,2.0,0.0,0.0
824077fffffffff,8.0,0.0,8.0
824107fffffffff,5.0,0.0,5.0
82411ffffffffff,24.0,0.0,24.0
824167fffffffff,2.0,0.0,0.0
824197fffffffff,5.0,0.0,0.0
8241a7fffffffff,2.0,0.0,0.0
8241b7fffffffff,9.0,0.0,2.0
82426ffffffffff,11.0,0.0,0.0
8242c7fffffffff,22.0,0.0,0.0
8242cffffffffff,59.0,0.0,0.0
8242dffffffffff,53.0,0.0,0.0
82464ffffffffff,3.0,0.0,0.0
82484ffffffffff,1.0,0.0,0.0
824b87fffffffff,22.0,0.0,0.0
824ba7fffffffff,181.0,0.0,2.0
824bb7fffffffff,177.0,0.0,5.0
825d17fffffffff,9.0,0.0,0.0
826007fffffffff,346.0,2.0,0.0
826017fffffffff,109.0,0.0,2.0
82601ffffffffff,6.0,0.0,0.0
826027fffffffff,86.0,0.0,0.0
826037fffffffff,188.0,10.0,0.0
826087fffffffff,54.0,0.0,0.0
82608ffffffffff,30.0,9.0,0.0
826097fffffffff,1.0,0.0,0.0
82609ffffffffff,124.0,0.0,0.0
8260a7fffffffff,22.0,0.0,0.0
8260affffffffff,50.0,3.0,0.0
8260b7fffffffff,18.0,0.0,0.0
826107fffffffff,2.0,0.0,0.0
82618ffffffffff,90.0,0.0,0.0
82619ffffffffff,8.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
826507fffffffff,291.0,0.0,0.0
82650ffffffffff,6.0,0.0,0.0
82651ffffffffff,709.0,0.0,0.0
826527fffffffff,157.0,0.0,0.0
826597fffffffff,2.0,0.0,2.0
826817fffffffff,15.0,0.0,15.0
82681ffffffffff,6.0,0.0,6.0
826877fffffffff,2.0,0.0,2.0
82694ffffffffff,5.0,0.0,0.0
82696ffffffffff,2.0,0.0,2.0
8272affffffffff,2.0,0.0,0.0
828c97fffffffff,1.0,0.0,1.0
82956ffffffffff,2.0,0.0,0.0
8295a7fffffffff,1.0,0.0,0.0
829b47fffffffff,2.0,0.0,0.0
829c27fffffffff,8.0,0.0,8.0
829d77fffffffff,1.0,0.0,0.0
82a6a7fffffffff,3.0,0.0,0.0
82a727fffffffff,1.0,0.0,1.0
82bb0ffffffffff,2.0,0.0,0.0
82bb57fffffffff,5.0,0.0,0.0
82be0ffffffffff,18.0,0.0,6.0
82be1ffffffffff,1.0,0.0,0.0
82be47fffffffff,5.0,0.0,0.0
82be4ffffffffff,4.0,0.0,4.0
82be5ffffffffff,2.0,0.0,0.0
82be67fffffffff,10.0,0.0,0.0
82be6ffffffffff,7.0,0.0,0.0
82be77fffffffff,58.0,0.0,3.0
82be8ffffffffff,5.0,0.0,0.0
82da97fffffffff,2.0,0.0,0.0
