cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
820c17fffffffff,341.0,0.0,0.0
820c47fffffffff,660.0,0.0,0.0
820c57fffffffff,97.0,0.0,0.0
820c5ffffffffff,149.0,0.0,0.0
820c67fffffffff,55.0,2.0,0.0
820c77fffffffff,809.0,16.0,0.0
820ccffffffffff,4.0,0.0,0.0
820cdffffffffff,14.0,0.0,0.0
820ceffffffffff,4.0,0.0,0.0
820d4ffffffffff,40.0,0.0,0.0
820d5ffffffffff,18.0,0.0,0.0
820d77fffffffff,21.0,0.0,0.0
821217fffffffff,2.0,0.0,0.0
82121ffffffffff,2.0,0.0,0.0
821287fffffffff,35.0,0.0,0.0
82128ffffffffff,28.0,0.0,0.0
821297fffffffff,9.0,0.0,0.0
82129ffffffffff,28.0,0.0,0.0
8212a7fffffffff,7.0,0.0,0.0
8212affffffffff,121.0,0.0,0.0
8212b7fffffffff,361.0,0.0,0.0
8212c7fffffffff,1114.0,0.0,0.0
8212cffffffffff,2469.0,0.0,0.0
8212d7fffffffff,718.0,0.0,0.0
8212dffffffffff,1987.0,0.0,0.0
8212e7fffffffff,19.0,0.0,0.0
8212f7fffffffff,105.0,0.0,0.0
821387fffffffff,169.0,0.0,0.0
82138ffffffffff,2.0,0.0,0.0
821397fffffffff,159.0,0.0,0.0
82139ffffffffff,196.0,0.0,0.0
8213affffffffff,1.0,0.0,0.0
8213b7fffffffff,27.0,0.0,0.0
821d27fffffffff,63.0,0.0,0.0
8222d7fffffffff,56.0,0.0,0.0
822617fffffffff,1.0,0.0,0.0
822687fffffffff,4648.0,0.0,0.0
82268ffffffffff,2984.0,0.0,0.0
822697fffffffff,1810.0,0.0,0.0
82269ffffffffff,1627.0,0.0,0.0
8226a7fffffffff,12.0,0.0,0.0
8226affffffffff,13.0,0.0,0.0
8226b7fffffffff,648.0,0.0,0.0
82278ffffffffff,333.0,0.0,0.0
822797fffffffff,257.0,0.0,0.0
82279ffffffffff,356.0,0.0,0.0
822807fffffffff,386.0,0.0,0.0
822817fffffffff,1593.0,0.0,0.0
82281ffffffffff,1261.0,0.0,0.0
822837fffffffff,1090.0,0.0,0.0
822887fffffffff,1263.0,0.0,0.0
82288ffffffffff,465.0,0.0,0.0
822897fffffffff,1908.0,0.0,0.0
82289ffffffffff,1173.0,0.0,0.0
8228a7fffffffff,14.0,0.0,0.0
8228affffffffff,725.0,0.0,0.0
8228b7fffffffff,460.0,0.0,0.0
8228c7fffffffff,442.0,0.0,0.0
8228d7fffffffff,5560.0,0.0,0.0
8228dffffffffff,1220.0,0.0,0.0
8228f7fffffffff,3866.0,0.0,0.0
82291ffffffffff,291.0,0.0,0.0
822987fffffffff,2.0,0.0,0.0
82298ffffffffff,2335.0,0.0,0.0
822997fffffffff,816.0,0.0,0.0
82299ffffffffff,110.0,0.0,0.0
8229a7fffffffff,122.0,0.0,0.0
8229affffffffff,1230.0,0.0,0.0
824527fffffffff,34.0,0.0,0.0
824537fffffffff,6.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0
82481ffffffffff,48.0,0.0,0.0
8248c7fffffffff,17.0,0.0,0.0
8248cffffffffff,413.0,41.0,0.0
8248dffffffffff,487.0,0.0,0.0
8248e7fffffffff,3.0,0.0,0.0
824987fffffffff,112.0,8.0,0.0
824997fffffffff,252.0,5.0,0.0
82499ffffffffff,4.0,0.0,0.0
8249b7fffffffff,2.0,0.0,0.0
8266a7fffffffff,26.0,0.0,1.0
8266b7fffffffff,1502.0,0.0,84.0
82679ffffffffff,8.0,0.0,0.0
826d27fffffffff,13.0,0.0,0.0
826d2ffffffffff,165.0,34.0,0.0
826d37fffffffff,2.0,0.0,0.0
826d6ffffffffff,923.0,0.0,0.0
