cell_id,Zosterops kaffensis,Zosterops kaffensis kaffensis,Zosterops kaffensis kulalensis
835291fffffffff,10.0,10.0,0.0
83529afffffffff,1.0,0.0,0.0
83529bfffffffff,3.0,3.0,0.0
83529efffffffff,5.0,5.0,0.0
836a41fffffffff,1.0,0.0,0.0
836a4afffffffff,1.0,1.0,0.0
836a4cfffffffff,5.0,1.0,0.0
836a4dfffffffff,1.0,0.0,0.0
836a68fffffffff,5.0,3.0,0.0
836a69fffffffff,5.0,1.0,0.0
836a6afffffffff,1.0,1.0,0.0
836a6bfffffffff,11.0,2.0,0.0
836a6cfffffffff,1.0,0.0,0.0
836a6dfffffffff,2.0,0.0,0.0
837ac9fffffffff,4.0,0.0,0.0
837acbfffffffff,8.0,1.0,0.0
