cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
830122fffffffff,1.0,0.0,0.0
830130fffffffff,156.0,0.0,23.0
830131fffffffff,21.0,0.0,2.0
830135fffffffff,63.0,0.0,8.0
830805fffffffff,4.0,0.0,0.0
830806fffffffff,11.0,0.0,0.0
830810fffffffff,2.0,0.0,0.0
830815fffffffff,16.0,0.0,0.0
830828fffffffff,1.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0
83082bfffffffff,1.0,0.0,0.0
83082dfffffffff,1.0,0.0,0.0
830830fffffffff,5.0,0.0,0.0
830831fffffffff,1.0,0.0,1.0
830832fffffffff,1.0,0.0,0.0
830833fffffffff,4.0,0.0,0.0
830836fffffffff,58.0,0.0,0.0
830880fffffffff,3.0,0.0,0.0
830882fffffffff,1.0,0.0,0.0
830883fffffffff,8.0,0.0,0.0
830885fffffffff,9.0,0.0,0.0
830886fffffffff,4.0,0.0,0.0
830888fffffffff,32.0,0.0,2.0
83088efffffffff,4.0,0.0,0.0
830890fffffffff,6.0,0.0,0.0
830893fffffffff,2.0,0.0,0.0
830894fffffffff,2.0,0.0,0.0
830895fffffffff,3.0,0.0,0.0
830896fffffffff,3.0,0.0,0.0
830898fffffffff,6.0,0.0,0.0
83089afffffffff,1.0,0.0,0.0
83089bfffffffff,3.0,0.0,0.0
83089cfffffffff,16.0,0.0,0.0
83089efffffffff,3.0,0.0,0.0
8308a3fffffffff,1.0,0.0,0.0
8308b1fffffffff,4.0,0.0,0.0
8308b3fffffffff,2.0,0.0,0.0
8308b4fffffffff,2.0,0.0,0.0
8308d4fffffffff,7.0,0.0,0.0
8308edfffffffff,3.0,0.0,0.0
8308f6fffffffff,2.0,0.0,0.0
83094bfffffffff,2.0,0.0,0.0
830958fffffffff,2.0,0.0,0.0
830959fffffffff,6.0,0.0,0.0
83095afffffffff,9.0,0.0,0.0
830980fffffffff,45.0,0.0,0.0
830981fffffffff,10.0,0.0,0.0
830982fffffffff,111.0,0.0,6.0
83098afffffffff,3.0,0.0,0.0
83098dfffffffff,2.0,0.0,0.0
830990fffffffff,1.0,0.0,0.0
830991fffffffff,356.0,0.0,2.0
830993fffffffff,22.0,0.0,1.0
