cell_id,Alectura lathami,Alectura lathami purpureicollis,Alectura lathami lathami
829c07fffffffff,482.0,0.0,0.0
829c0ffffffffff,27.0,0.0,0.0
829c1ffffffffff,977.0,0.0,0.0
829c27fffffffff,5799.0,0.0,0.0
829c2ffffffffff,11.0,0.0,0.0
829c77fffffffff,9.0,0.0,0.0
829ce7fffffffff,32.0,0.0,0.0
829cf7fffffffff,77.0,0.0,0.0
829d07fffffffff,102.0,0.0,0.0
829d0ffffffffff,433.0,0.0,0.0
829d27fffffffff,355.0,0.0,0.0
829d2ffffffffff,16.0,0.0,0.0
82be0ffffffffff,1814.0,0.0,0.0
82be1ffffffffff,650.0,0.0,0.0
82be8ffffffffff,9507.0,0.0,0.0
82beaffffffffff,3423.0,0.0,0.0
82bed7fffffffff,2.0,0.0,0.0
82bedffffffffff,2.0,0.0,0.0
82bef7fffffffff,219.0,0.0,0.0
