cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
834424fffffffff,8.0,0.0,0.0,0.0
834501fffffffff,127.0,0.0,0.0,0.0
834505fffffffff,135.0,0.0,0.0,0.0
834508fffffffff,90.0,0.0,0.0,0.0
83450afffffffff,528.0,25.0,0.0,0.0
83450bfffffffff,41.0,0.0,0.0,0.0
83450cfffffffff,177.0,7.0,0.0,0.0
83450dfffffffff,17.0,0.0,0.0,0.0
83450efffffffff,685.0,46.0,0.0,0.0
834520fffffffff,860.0,0.0,0.0,0.0
834521fffffffff,1082.0,32.0,0.0,0.0
834522fffffffff,1600.0,0.0,0.0,0.0
834523fffffffff,856.0,47.0,0.0,0.0
834524fffffffff,284.0,0.0,0.0,0.0
834525fffffffff,198.0,0.0,0.0,0.0
834526fffffffff,1028.0,0.0,0.0,0.0
834528fffffffff,768.0,41.0,0.0,0.0
834529fffffffff,14.0,2.0,0.0,0.0
83452afffffffff,1504.0,75.0,0.0,0.0
83452bfffffffff,207.0,25.0,0.0,0.0
83452cfffffffff,777.0,81.0,0.0,0.0
83452dfffffffff,393.0,77.0,0.0,0.0
83452efffffffff,8766.0,437.0,0.0,0.0
834530fffffffff,33.0,0.0,0.0,0.0
834531fffffffff,94.0,0.0,0.0,0.0
834532fffffffff,116.0,0.0,0.0,0.0
834534fffffffff,112.0,0.0,0.0,0.0
834535fffffffff,60.0,0.0,0.0,0.0
834536fffffffff,81.0,0.0,0.0,0.0
834564fffffffff,23.0,2.0,0.0,0.0
834576fffffffff,8.0,1.0,0.0,0.0
834996fffffffff,330.0,8.0,0.0,0.0
836600fffffffff,2.0,0.0,0.0,0.0
836602fffffffff,90.0,0.0,0.0,0.0
836603fffffffff,12.0,0.0,0.0,0.0
836605fffffffff,5.0,0.0,0.0,0.0
836606fffffffff,9.0,0.0,0.0,0.0
836608fffffffff,1082.0,9.0,0.0,0.0
83660afffffffff,619.0,16.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0
83660cfffffffff,10.0,0.0,0.0,0.0
83660efffffffff,122.0,0.0,0.0,0.0
836610fffffffff,1984.0,170.0,0.0,0.0
836611fffffffff,187.0,0.0,32.0,0.0
836612fffffffff,36.0,0.0,0.0,0.0
836613fffffffff,900.0,85.0,0.0,0.0
836615fffffffff,5.0,0.0,0.0,0.0
836616fffffffff,704.0,79.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
836619fffffffff,1904.0,72.0,0.0,0.0
83661afffffffff,355.0,0.0,19.0,0.0
83661bfffffffff,109.0,0.0,33.0,0.0
83661cfffffffff,70.0,0.0,10.0,0.0
83661dfffffffff,161.0,9.0,0.0,0.0
83661efffffffff,334.0,0.0,8.0,0.0
836620fffffffff,481.0,50.0,0.0,0.0
836622fffffffff,270.0,26.0,0.0,0.0
836628fffffffff,2.0,0.0,0.0,0.0
836629fffffffff,25.0,0.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0,0.0
83662dfffffffff,16.0,0.0,0.0,0.0
83662efffffffff,17.0,0.0,0.0,0.0
8366a0fffffffff,1132.0,58.0,0.0,0.0
8366a1fffffffff,10.0,0.0,0.0,0.0
8366a5fffffffff,4931.0,393.0,0.0,0.0
8366a6fffffffff,67.0,0.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,3740.0,0.0,0.0,0.0
8366b5fffffffff,513.0,13.0,0.0,0.0
8366d0fffffffff,837.0,0.0,214.0,26.0
8366d2fffffffff,228.0,0.0,9.0,81.0
8366d3fffffffff,5527.0,0.0,0.0,2377.0
8366d4fffffffff,5.0,0.0,0.0,0.0
8366d5fffffffff,32.0,0.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e4fffffffff,179.0,0.0,0.0,0.0
8366e6fffffffff,41.0,0.0,0.0,0.0
8366f0fffffffff,2073.0,0.0,376.0,0.0
8366f1fffffffff,46.0,0.0,2.0,0.0
8366f3fffffffff,35.0,0.0,0.0,0.0
8366f5fffffffff,23.0,0.0,4.0,0.0
836743fffffffff,2.0,0.0,0.0,0.0
836753fffffffff,2.0,0.0,0.0,0.0
83675cfffffffff,60.0,2.0,0.0,0.0
83678bfffffffff,10.0,2.0,0.0,0.0
836790fffffffff,28.0,0.0,0.0,0.0
836791fffffffff,2.0,0.0,0.0,0.0
836792fffffffff,10.0,0.0,0.0,0.0
836793fffffffff,18.0,0.0,0.0,0.0
836794fffffffff,16.0,0.0,0.0,0.0
836796fffffffff,95.0,0.0,0.0,0.0
83679afffffffff,6819.0,2.0,0.0,0.0
83679bfffffffff,1430.0,8.0,0.0,0.0
836d04fffffffff,38.0,9.0,0.0,0.0
836d05fffffffff,236.0,59.0,0.0,0.0
836d20fffffffff,50.0,0.0,0.0,0.0
836d21fffffffff,303.0,32.0,0.0,0.0
836d22fffffffff,27.0,0.0,0.0,0.0
836d23fffffffff,50.0,8.0,0.0,0.0
836d25fffffffff,32.0,0.0,0.0,0.0
836d26fffffffff,3.0,0.0,0.0,0.0
836d29fffffffff,49.0,0.0,0.0,0.0
836d2afffffffff,42.0,5.0,0.0,0.0
836d2bfffffffff,1511.0,14.0,0.0,0.0
836d2cfffffffff,597.0,120.0,0.0,0.0
836d2dfffffffff,229.0,86.0,0.0,0.0
836d2efffffffff,10.0,0.0,0.0,0.0
836d30fffffffff,193.0,14.0,0.0,0.0
836d31fffffffff,90.0,11.0,0.0,0.0
836d34fffffffff,18.0,2.0,0.0,0.0
836d35fffffffff,217.0,10.0,0.0,0.0
836d36fffffffff,20.0,0.0,0.0,0.0
836d60fffffffff,67.0,0.0,0.0,0.0
836d61fffffffff,429.0,0.0,0.0,0.0
836d64fffffffff,19.0,0.0,0.0,0.0
836d65fffffffff,1019.0,0.0,0.0,0.0
836d66fffffffff,116.0,0.0,0.0,0.0
836d68fffffffff,2217.0,0.0,0.0,0.0
836d69fffffffff,8712.0,0.0,0.0,0.0
836d6bfffffffff,870.0,0.0,0.0,0.0
836d6cfffffffff,4.0,0.0,0.0,0.0
836d6dfffffffff,1865.0,0.0,0.0,0.0
836d6efffffffff,354.0,0.0,0.0,0.0
836d74fffffffff,342.0,0.0,0.0,0.0
836d75fffffffff,125.0,0.0,0.0,0.0
838f0dfffffffff,422.0,0.0,0.0,184.0
838f21fffffffff,2.0,0.0,0.0,0.0
838f28fffffffff,61.0,0.0,0.0,19.0
838f29fffffffff,169.0,0.0,0.0,82.0
838f2afffffffff,165.0,0.0,0.0,73.0
838f2bfffffffff,125.0,0.0,0.0,30.0
838f2cfffffffff,285.0,0.0,0.0,82.0
838f2dfffffffff,8.0,0.0,0.0,5.0
838f2efffffffff,11.0,0.0,0.0,0.0
838f76fffffffff,19.0,0.0,0.0,2.0
