cell_id,Geokichla piaggiae,Geokichla piaggiae [piaggiae Group],Geokichla piaggiae tanganjicae
835286fffffffff,2.0,0.0,0.0
83529bfffffffff,7.0,0.0,0.0
836a49fffffffff,2.0,0.0,0.0
836a69fffffffff,2.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0
836ac3fffffffff,1.0,0.0,1.0
836adcfffffffff,80.0,0.0,59.0
836adefffffffff,25.0,0.0,18.0
837a41fffffffff,3.0,0.0,0.0
837a45fffffffff,79.0,0.0,0.0
837a48fffffffff,21.0,0.0,0.0
837a4cfffffffff,1.0,0.0,0.0
837a65fffffffff,5.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,3.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0
837ac8fffffffff,13.0,0.0,0.0
837acafffffffff,3.0,0.0,0.0
837acbfffffffff,7.0,0.0,0.0
837accfffffffff,164.0,0.0,0.0
837acdfffffffff,36.0,0.0,0.0
837acefffffffff,1.0,0.0,0.0
837ad9fffffffff,1.0,0.0,0.0
837aeafffffffff,1.0,0.0,0.0
837aebfffffffff,4.0,0.0,0.0
839692fffffffff,1.0,0.0,0.0
839693fffffffff,3.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0
