cell_id,Ptilinopus fischeri,Ptilinopus fischeri fischeri/centralis,Ptilinopus fischeri meridionalis
8268cffffffffff,41.0,7.0,0.0
8268d7fffffffff,243.0,71.0,0.0
8268dffffffffff,2.0,0.0,0.0
829507fffffffff,4.0,1.0,0.0
829527fffffffff,3.0,2.0,0.0
82952ffffffffff,2.0,0.0,0.0
