cell_id,Megascops roraimae,Megascops roraimae roraimae,Megascops roraimae [napensis Group]
835f03fffffffff,2.0,2.0,0.0
835f2bfffffffff,2.0,0.0,2.0
835f2cfffffffff,1.0,0.0,0.0
835f70fffffffff,2.0,2.0,0.0
835f76fffffffff,5.0,0.0,0.0
83662efffffffff,19.0,4.0,0.0
8366c2fffffffff,2.0,0.0,0.0
8366d1fffffffff,11.0,0.0,2.0
8366defffffffff,11.0,0.0,4.0
836741fffffffff,2.0,0.0,0.0
836743fffffffff,5.0,1.0,0.0
83674cfffffffff,4.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
83675efffffffff,1.0,0.0,0.0
838ac3fffffffff,1.0,0.0,0.0
838b63fffffffff,2.0,0.0,0.0
838b69fffffffff,5.0,0.0,0.0
838b6efffffffff,4.0,0.0,4.0
838b75fffffffff,1.0,0.0,0.0
838e64fffffffff,11.0,0.0,2.0
838f41fffffffff,1.0,0.0,0.0
838f46fffffffff,1.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,3.0,0.0,0.0
838f76fffffffff,2.0,0.0,0.0
